Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
400.0,Executive Engineer JSV Flood Prot. Division Gagret,Gagret,No,Executive Engineer,Executive Engineer JSV Flood Prot. Division Gagret,1.0,ICICI BANK,Drilling of Tubewell at Nakroh Harizan Basti in Tehsil Ghanari in Distt. Una (HP),Drilling lowering of Assembly and Development of T/well 140 mtr. deep (Under Head VKVNY),As per NIT ,NA ,"11,23,953",Civil Works,NA ,Tender,120.0,90.0,Works,177201.0,NA ,NA ,NA ,Executive Engineer JSV Flood Prot. Division Gagret,No ,No,HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,GGT-UNA01-752 No. 1939-89 dt 01.07.2020 (Job-2),2020_HPIPH_38460_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,01-Jul-2020 04:00 PM,15-Jul-2020 12:30 PM,01-Jul-2020 04:00 PM,15-Jul-2020 11:00 AM,01-Jul-2020 04:00 PM ,15-Jul-2020 11:00 AM ,01-Jul-2020 04:00 PM,15-Jul-2020 11:00 AM,16-Jul-2020 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Registration in HP IPH Department as per NIT condition No. 11(I),"22,480",Yes,fixed,,Executive Engineer JSV Flood Prot. Division Gagret,Gagret,AOC,Er Parveen Kumar Sharma,Internal,As per document attached,Parveen Kumar Sharma,16-Jul-2020 02:18 PM,16-Jul-2020 03:00 PM,techsummary_56812.pdf (35.32 KB),1.0,167072.0,ABTAR SINGH AND COMPANY,15-Jul-2020 10:37 AM,Rejected-Finance,Higher quoted rates,03-Sep-2020 12:57 PM,03-Sep-2020,"INR 1,430,680",90.0,Parveen Kumar Sharma,03-Sep-2020 01:07 PM,Award-Drilling-Mast-Ram.pdf (1173.00 KB),As per document attached,Finance,As per document attached,Parveen Kumar Sharma,16-Jul-2020 04:25 PM,finance_56812.pdf,BOQ Comparative Chart,Technical,As per document attached,Parveen Kumar Sharma,16-Jul-2020 02:13 PM,technical_56812.pdf,Er. S. K. Sharma,Internal,As per document attached,Parveen Kumar Sharma,03-Sep-2020 12:56 PM,finsummary_56812.pdf (35.34 KB),HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,2020_HPIPH_38460_1,GGT-UNA01-752 No. 1939-89 dt 01.07.2020 (Job-2),Drilling of Tubewell at Nakroh Harizan Basti in Tehsil Ghanari in Distt. Una (HP),1.0,166838.0,M/S. Mast Ram Jaswal And Co.,INR,"1,430,680",AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender documents and Earnest money as per NIT condition No. 11(ii),,,,,,,AOC,,,,,,,,2.0,167594.0,Lakshmi Drillers,15-Jul-2020 09:48 AM,Rejected-Finance,Higher quoted rates,03-Sep-2020 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money Exemption necessary Affidavit as per NIT condition No. 11(iii),,,,,,,AOC,,,,,,,,3.0,166838.0,M/S. Mast Ram Jaswal And Co.,15-Jul-2020 10:36 AM,Accepted-AOC,Lowest quoted rates,03-Sep-2020 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Income Tax, GST Regd No or their latest clearance certificate, copy of PAN as per NIT cond No.11(v)",,,,,,,AOC,,,,,,,,4.0,167590.0,popular pipes,15-Jul-2020 10:16 AM,Rejected-Finance,Higher quoted rates,03-Sep-2020 12:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest return of GST or Clearance certificate as per NIT condition No. 11(v),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit as per NIT condition No. 11(vi),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF as per NIT condition No. 11(vii),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate regarding State Ground Water Authority as per NIT condition No. 11(viii),,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of work done.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
