S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
1.0,ICICI BANK,HP SIDC Limited,Job No. 1,2020_SIDC_35919_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),04-Mar-2020 05:00 PM,24-Mar-2020 11:00 AM,04-Mar-2020 05:00 PM,23-Mar-2020 05:00 PM,NA ,NA ,04-Mar-2020 05:00 PM,23-Mar-2020 05:00 PM,15-May-2020 11:00 AM,"SRMO Industrial Area PH-II Thana, Baddi, Distt. Solan (HP). (SH - Strengthening and re-carpeting of roads, C/o drains, dressing of berms and cleaning of drains).","SRMO Industrial Area PH-II Thana, Baddi, Distt. Solan (HP). (SH - Strengthening and re-carpeting of roads, C/o drains, dressing of berms and cleaning of drains).",Please refer Tender documents. ,NA ,"1,15,05,204",Civil Works - Roads,NA ,Tender,120.0,180.0,Thana (Baddi),173205.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,"1,47,500",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,AOC,Finance,Financial summary,Sushant Singh Negi,22-May-2020 11:05 AM,finance_52832.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), Dy. Manager(P)",Sushant Singh Negi,14-May-2020 03:17 PM,15-May-2020 11:00 AM,techsummary_52832.pdf (689.46 KB),Technical,Opening summary,Sushant Singh Negi,14-May-2020 03:15 PM,technical_52832.pdf,1.0,156154.0,Gurmeet Singh,23-Mar-2020 04:51 PM,Rejected-Finance,Second lowest bidder,22-May-2020 11:18 AM,25-Jul-2020,"INR 12,947,943",180.0,Sushant Singh Negi,24-Sep-2020 04:30 PM,jarnailsingh.pdf (3374.00 KB),Award letter,1.0,155928.0,JARNAIL SINGH,INR,"12,947,943",SE,Internal,"DM, AE(HQ), Dy. Manager(P)",Sushant Singh Negi,22-May-2020 11:18 AM,finsummary_52832.pdf (352.23 KB),HP SIDC Limited,2020_SIDC_35919_1,Job No. 1,"SRMO Industrial Area PH-II Thana, Baddi, Distt. Solan (HP). (SH - Strengthening and re-carpeting of roads, C/o drains, dressing of berms and cleaning of drains).",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,155928.0,JARNAIL SINGH,23-Mar-2020 01:11 PM,Accepted-AOC,Lowest bidder,24-Sep-2020 04:31 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Signe copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPT registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar nature of work done certificate (as per tender conditions).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery / equipment and skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of annual Financial Turn Over (with Breakup),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
