Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,PW.SRDD-CB-CTR-2020-21 2665 DT 12.06.2020,2020_PWD_38409_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,27-Jun-2020 01:10 PM,13-Jul-2020 11:00 AM,27-Jun-2020 01:10 PM,13-Jul-2020 09:00 AM,NA ,NA ,27-Jun-2020 01:10 PM,13-Jul-2020 09:00 AM,18-Jul-2020 03:00 PM,500.0,EE Dhami,Dhami,No,1.0,Change in Critical Dates,Date,,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),C/O Additional Accommodation for Rest house at Tara Devi,SH Providing furniture in 19 nos. rooms and 2 nos. dormitories,Please refer Tender documents. ,NA ,"23,47,200",Furniture/ Fixture,NA ,Tender,120.0,30.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,"43,000",No,fixed,,EE Dhami,Dhami,1.0,DD - Demand Draft,EE Dhami,SHIMLA RURAL DIVISION DHAMI,AOC,1.0,167044.0,SANJEEV KUMAR KHANNA,INR,"1,925,560",Finance,Bid opening summary,Sudhir Kumar Gupta,22-Jul-2020 03:20 PM,finance_56753.pdf,BOQ Comparative Chart,1.0,165334.0,Anand Enterprises,11-Jul-2020 03:56 PM,Rejected-Finance,L6,29-Sep-2020 03:06 PM,Technical,Bid opening summary,Sudhir Kumar Gupta,17-Jul-2020 03:28 PM,technical_56753.pdf,PWD,2020_PWD_38409_1,PW.SRDD-CB-CTR-2020-21 2665 DT 12.06.2020,C/O Additional Accommodation for Rest house at Tara Devi,Er Sudhir Kumar Gupta EE,Internal,ShPremRajMeenDAO ShRamSawaroopSupdt ShSureshKumarVermaHDM,Sudhir Kumar Gupta,17-Jul-2020 03:35 PM,18-Jul-2020 03:00 PM,techsummary_56753.pdf (92.35 KB),ErSudhirKumarGuptaEE,Internal,ShPremRajMeenDAO ShRamSawaroopSupdt ShSureshKumarVermaHDM,Sudhir Kumar Gupta,29-Sep-2020 03:05 PM,finsummary_56753.pdf (141.56 KB),29-Sep-2020,"INR 2,347,200",30.0,Sudhir Kumar Gupta,29-Sep-2020 03:09 PM,AOC-TaraDeviFurniture.pdf (220.00 KB),AOC,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Reference images,Other,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC,,,,,,,,,,,,2.0,166424.0,ASHOKA FURNITURE PVT LTD,11-Jul-2020 03:51 PM,Rejected-Finance,L3,29-Sep-2020 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,166862.0,BHARAT SINGH CHAUHAN,11-Jul-2020 01:49 PM,Rejected-Finance,L4,29-Sep-2020 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,166794.0,KHEM RAJ SHARMA,10-Jul-2020 04:58 PM,Rejected-Finance,L5,29-Sep-2020 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand As Per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,166993.0,Manohar Singh,12-Jul-2020 04:01 PM,Rejected-Finance,L2,29-Sep-2020 03:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,167044.0,SANJEEV KUMAR KHANNA,13-Jul-2020 07:51 AM,Accepted-AOC,L1,29-Sep-2020 03:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
