Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
SE,Internal,"DM, AE(HQ), Dy. Manager(P) ,EE(HQ)",Sushant Singh Negi,29-May-2020 02:47 PM,finsummary_50563.pdf (407.67 KB),HP SIDC Limited,2020_SIDC_34543_1,Job No. 4,Channelization of nallah and construction of RCC slab culverts along plot No. 15 at Ind. Area Sultanpur Distt. Chamba (HP),20-Aug-2020,"INR 4,283,804",90.0,Sushant Singh Negi,11-Sep-2020 11:00 AM,rashidkhan.pdf (2342.00 KB),Award letter,1.0,150309.0,RASHID KHAN GOVT CONTRACTOR,INR,"4,283,804",SE,Internal,"DM, AE(HQ), Dy. Manager(P)",Sushant Singh Negi,16-May-2020 10:56 AM,18-May-2020 11:00 AM,techsummary_50563.pdf (714.76 KB),Technical,Opening summary,Sushant Singh Negi,27-Feb-2020 01:12 PM,technical_50563.pdf,1.0,150536.0,AASTHA CONSTRUCTION COMPANY,24-Feb-2020 09:55 AM,Rejected-Finance,Second lowest bidder,29-May-2020 02:47 PM,Finance,Financial summary,Sushant Singh Negi,29-May-2020 02:45 PM,finance_50563.pdf,BOQ Comparative Chart,AOC,"4,000",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,Executive Engineer,HPSIDC Ltd. Shimla,HP SIDC Limited,Job No. 4,2020_SIDC_34543_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per tender conditions),Channelization of nallah and construction of RCC slab culverts along plot No. 15 at Ind. Area Sultanpur Distt. Chamba (HP),Channelization of nallah and construction of RCC slab culverts along plot No. 15 at Ind. Area Sultanpur Distt. Chamba (HP),Please refer Tender documents. ,NA ,"35,06,995",Civil Works,NA ,Tender,120.0,90.0,Sultanpur (Chamba),176314.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,03-Feb-2020 11:15 AM,25-Feb-2020 11:00 AM,03-Feb-2020 11:15 AM,24-Feb-2020 05:00 PM,NA ,NA ,03-Feb-2020 11:15 AM,24-Feb-2020 05:00 PM,18-May-2020 11:00 AM,1.0,ICICI BANK,"60,100",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,150594.0,MOHAMAD HAFIZ,24-Feb-2020 02:32 PM,Rejected-Finance,Third lowest bidder,29-May-2020 02:47 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,information furnished with the bid documents is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,150309.0,RASHID KHAN GOVT CONTRACTOR,23-Feb-2020 01:52 PM,Accepted-AOC,lowest bidder,11-Sep-2020 11:01 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each or Rs. 100.00 lacs or more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of successfully completed similar type of work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
