Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Summary of Technical Bid Evaluation,Manoj Kumar Sehgal,03-Aug-2020 03:46 PM,finance_57446.pdf,BOQ Comparative Chart,1.0,170108.0,Arun Mehta,INR,"6,135,812",Technical,Bid Opening Summary,Manoj Kumar Sehgal,31-Jul-2020 11:19 AM,technical_57446.pdf,1.0,170108.0,Arun Mehta,28-Jul-2020 11:38 AM,Accepted-AOC,Aoc,28-Sep-2020 10:39 AM,28-Sep-2020,"INR 6,937,680",90.0,Manoj Kumar Sehgal,28-Sep-2020 10:37 AM,g.pdf (638.00 KB),AOC,Er.Manoj Sehgal,Internal,"Supdt. Gr-II,HDM,DA",Manoj Kumar Sehgal,28-Sep-2020 10:36 AM,finsummary_57446.pdf (272.35 KB),Er.Manoj Sehgal,Internal,"Executive Engineer, HDM, Supdt. GR-II, Senior Asstt.",Manoj Kumar Sehgal,03-Aug-2020 01:19 PM,03-Aug-2020 03:00 PM,techsummary_57446.pdf (272.23 KB),PWD,2020_PWD_38907_1,PW-KMS-AB-NIT/2020-2510-11 dated 01/07/2020,1 Annual surfacing on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000 SH Renewal coat 30mm thick Bituminous Concrete in Km 21/000 to 22/000 and 26/000 to 27/000 and A/S on Oddi Khaneti Kotgarh road SH Renewal coat 30mm BC in Km 16/0 to 19/0,AOC,Executive Engineer,"HP.PWD., Division Kumarsain",15-Jul-2020 05:00 PM,30-Jul-2020 11:00 AM,15-Jul-2020 05:30 PM,29-Jul-2020 06:00 PM,NA ,NA ,15-Jul-2020 05:30 PM,29-Jul-2020 06:00 PM,03-Aug-2020 03:00 PM,500.0,EE Dodrakawar,Rohru/Dodrakawar,No,"71,000",No,fixed,,EE Kumarsain,EE Kumarsain,1.0,DD - Demand Draft,PWD,PW-KMS-AB-NIT/2020-2510-11 dated 01/07/2020,2020_PWD_38907_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1 Annual surfacing on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000 SH Renewal coat 30mm thick Bituminous Concrete in Km 21/000 to 22/000 and 26/000 to 27/000 and A/S on Oddi Khaneti Kotgarh road SH Renewal coat 30mm BC in Km 16/0 to 19/0,Annual surfacing on Narkanda Thanedhar Kotgarh Bithal road Km 0/000 to 44/000 SH Renewal coat 30mm thick Bituminous Concrete in Km 21/000 to 22/000 and 26/000 to 27/000 and A/S on Oddi Khaneti Kotgarh road SH Renewal coat 30mm BC in Km 16/0 to 19/0,Please refer Tender documents. ,NA ,"42,27,842",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,2.0,170122.0,Tara Chand Mehta,28-Jul-2020 11:57 AM,Rejected-AOC,Reject,28-Sep-2020 10:39 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
