Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Bid Opening Summary,Manoj Kumar Sehgal,17-Jan-2020 01:02 PM,technical_48610.pdf,1.0,144698.0,Ankush Negi,13-Jan-2020 05:32 PM,Accepted-AOC,Accept,30-Sep-2020 12:17 PM,Finance,Technical Bid Evaluation Summary,Manoj Kumar Sehgal,23-Jan-2020 11:02 AM,finance_48610.pdf,BOQ Comparative Chart,1.0,144698.0,Ankush Negi,INR,"9,310,514",30-Sep-2020,"INR 9,310,514",365.0,Manoj Kumar Sehgal,30-Sep-2020 12:15 PM,i.pdf (538.00 KB),AOC,Er.Manoj Sehgal,Internal,"Supdt. Gr-II,HDM,DA",Manoj Kumar Sehgal,30-Sep-2020 12:14 PM,finsummary_48610.pdf (244.34 KB),Er.Manoj Sehgal,Internal,Supdt Gr-II HDM and Senior Assistant,Manoj Kumar Sehgal,20-Jan-2020 01:38 PM,23-Jan-2020 10:30 AM,techsummary_48610.pdf (244.23 KB),PWD,2019_PWD_33741_1,PW-KMS-AB-NIT/9545-46 dt.19.12.2019,Balance work for c/o Lauga Badubagain Changadhar Dadesh Banot Nallah road SH C/O wire crate with PCC R/Walls B/walls Providing Kharanja Stone Soling and C/O PCC Parapets between Km 4/000 to 6/970 under NABARD RIDF XX Slice B,AOC,"1,500",EE Kumarsain,Kumarsain,No,"1,08,550",No,fixed,,EE Kumarsain,Kumarsain,PWD,PW-KMS-AB-NIT/9545-46 dt.19.12.2019,2019_PWD_33741_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Kumarsain Division HPPWD Kumarsain,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),28-Dec-2019 05:00 PM,14-Jan-2020 11:00 AM,28-Dec-2019 05:30 PM,13-Jan-2020 06:00 PM,NA ,NA ,28-Dec-2019 05:30 PM,13-Jan-2020 06:00 PM,23-Jan-2020 10:30 AM,1.0,DD - Demand Draft,Balance work for c/o Lauga Badubagain Changadhar Dadesh Banot Nallah road SH C/O wire crate with PCC R/Walls B/walls Providing Kharanja Stone Soling and C/O PCC Parapets between Km 4/000 to 6/970 under NABARD RIDF XX Slice B,Balance work for c/o Lauga Badubagain Changadhar Dadesh Banot Nallah road SH C/O wire crate with PCC R/Walls B/walls Providing Kharanja Stone Soling and C/O PCC Parapets between Km 4/000 to 6/970 under NABARD RIDF XX Slice B,Please refer Tender documents. ,NA ,"76,00,443",Civil Works,NA ,Tender,90.0,365.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,AOC
,,,,,2.0,144006.0,Hari Bhushan,10-Jan-2020 01:59 PM,Rejected-AOC,Reject,30-Sep-2020 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,144672.0,Hemant Kumar,13-Jan-2020 02:23 PM,Rejected-AOC,Reject,30-Sep-2020 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand Certificate (Gen Rule No 19, Min Amt Work done shown in Schedule F)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for Last Five Years alongwith balance sheet (Refer Schedule D),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
