Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
SE,Internal,"DM,AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,09-Jun-2020 03:05 PM,finsummary_51826.pdf (377.83 KB),HP SIDC Limited,2020_SIDC_35312_1,Job No. 1,"Strengthening of roads in Phase-I,II and III at Ind. Area Gagret, Distt. Una(HP).",16-Jun-2020,"INR 16,336,123",180.0,Sushant Singh Negi,11-Sep-2020 12:45 PM,gagretshivkuar.pdf (2233.00 KB),Award letter,1.0,152287.0,Shiv Kumar Govt Contractor,INR,"16,336,123",Technical,Bid opening summary,Sushant Singh Negi,21-Mar-2020 11:15 AM,technical_51826.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,28-May-2020 12:48 PM,29-May-2020 11:00 AM,techsummary_51826.pdf (684.75 KB),1.0,154093.0,K.K. Construction,11-Mar-2020 03:42 PM,Rejected-Finance,Second lowest bidder,09-Jun-2020 03:05 PM,Finance,Financial detail,Sushant Singh Negi,09-Jun-2020 02:59 PM,finance_51826.pdf,BOQ Comparative Chart,AOC,20-Feb-2020 12:30 PM,12-Mar-2020 11:00 AM,20-Feb-2020 12:30 PM,11-Mar-2020 05:00 PM,NA ,NA ,20-Feb-2020 12:30 PM,11-Mar-2020 05:00 PM,29-May-2020 11:00 AM,HP SIDC Limited,Job No. 1,2020_SIDC_35312_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,08,300",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,Executive Engineer,HPSIDC Ltd. Shimla,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per tender condition),"Strengthening of roads in Phase-I,II and III at Ind. Area Gagret, Distt. Una(HP).","Strengthening of roads in Phase-I,II and III at Ind. Area Gagret, Distt. Una(HP).",Please refer Tender documents. ,NA ,"1,75,75,537",Civil Works - Roads,NA ,Tender,120.0,180.0,Gagret (Una),177201.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,151959.0,M/s Satish Kumar Sharma,11-Mar-2020 12:12 PM,Rejected-Technical,Not qualified in the bid capacity,28-May-2020 12:48 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,152287.0,Shiv Kumar Govt Contractor,10-Mar-2020 10:49 AM,Accepted-AOC,lowest bidder,11-Sep-2020 12:46 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar nature of work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery equipments and skilled engineer/Technical staff,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments / ongoing work in hand,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of annual financial turnover (with breakup),,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,,,,,,,,,,,,,,,,,,,AOC
