Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
350.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,PWD,No.PW/TDD/GA-NIT/2018-19-15335 dt. 19.01.2019,2019_PWD_26335_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical renewal on Darkoti Kotlu road,P/L 25mm thick bitumen concrete in km. 1/0 to 2/00 ) HP0302VR0058,Please refer Tender documents. ,NA ,"7,13,625",Civil Works,NA ,Tender,120.0,60.0,Tauni Devi,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,1.0,DD - Demand Draft,1.0,Changes,Financial Bid,,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi","14,500",Yes,fixed,,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,05-Feb-2019 10:30 AM,15-Feb-2019 11:00 AM,05-Feb-2019 11:00 AM,14-Feb-2019 05:00 PM,NA ,NA ,05-Feb-2019 12:00 PM,14-Feb-2019 05:00 PM,18-Feb-2019 10:30 AM,AOC,EE,Internal,SUPDTHDMDAO,Santosh Kumar Katoch,16-Feb-2019 08:32 PM,18-Feb-2019 10:30 AM,techsummary_37198.pdf (81.37 KB),PWD,2019_PWD_26335_1,No.PW/TDD/GA-NIT/2018-19-15335 dt. 19.01.2019,Periodical renewal on Darkoti Kotlu road,07-Mar-2019,"INR 713,625",60.0,Arvind Lakhanpal,06-Sep-2020 02:08 PM,ArvindDarkoti.pdf (45.00 KB),Award,EE,Internal,SupdtHDMDAO,Santosh Kumar Katoch,02-Mar-2019 06:09 PM,finsummary_37198.pdf (81.25 KB),1.0,112508.0,Arvind Sharma,13-Feb-2019 02:58 PM,Accepted-AOC,Lowest,06-Sep-2020 02:09 PM,Technical,summary,Santosh Kumar Katoch,15-Feb-2019 03:48 PM,technical_37198.pdf,Finance,Bid,Santosh Kumar Katoch,02-Mar-2019 05:26 PM,None,BOQ Comparative Chart,1.0,112508.0,Arvind Sharma,INR,"798,503",AOC
,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112543.0,umesh sharma,13-Feb-2019 04:09 PM,Rejected-AOC,Higher,06-Sep-2020 02:09 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,GTS Registration (General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
