Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Summary,Swaroop Kumar,26-Dec-2019 05:12 PM,technical_48152.pdf,1.0,142324.0,ASHWANI KUMAR GOVT. CONTRACTOR,24-Dec-2019 06:16 PM,Rejected-AOC,Higher,06-Sep-2020 04:16 PM,Finance,finbid,Swaroop Kumar,26-Jan-2020 12:24 PM,finance_48152.pdf,BOQ Comparative Chart,1.0,142316.0,SAJEEV KUMAR GOVT.CONTRACTOR,INR,"822,995",10-Feb-2020,"INR 615,866",60.0,Arvind Lakhanpal,06-Sep-2020 04:16 PM,Triyambali.pdf (654.00 KB),award,EE,Internal,SUPDT/HDM/DAO,Swaroop Kumar,26-Jan-2020 12:27 PM,finsummary_48152.pdf (156.81 KB),EE,Internal,SUPDT/HDM/DAO,Swaroop Kumar,30-Dec-2019 03:52 PM,31-Dec-2019 03:30 PM,techsummary_48152.pdf (140.53 KB),PWD,2019_PWD_33405_1,PW/TDD/GA-NIT/2019- 10931 dt. 04.12.2019,C/O link road from village Taryambli to Chamiana via GHS Chamiana km. 0/0 to 0/700.,AOC,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",16-Dec-2019 06:50 PM,26-Dec-2019 11:00 AM,16-Dec-2019 06:50 PM,26-Dec-2019 10:30 AM,NA ,NA ,16-Dec-2019 06:50 PM,26-Dec-2019 10:30 AM,31-Dec-2019 03:30 PM,350.0,"Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,PWD,PW/TDD/GA-NIT/2019- 10931 dt. 04.12.2019,2019_PWD_33405_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at Hamirpur,1.0,DD - Demand Draft,"12,300",Yes,fixed,,EE Tauni Devi,Hamirpur,C/O link road from village Taryambli to Chamiana via GHS Chamiana km. 0/0 to 0/700.,"C/O hume pipe culverts, at RD. 0/155 with wing wall, 0/320 with wing wall, 0/374 with wing wall 0/482 with wing wall",Please refer Tender documents. ,NA ,"6,15,866",Civil Works,NA ,Tender,90.0,60.0,"Executive Engineer, HPPWD Division Tauni Devi",177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,AOC
,,,,,2.0,142316.0,SAJEEV KUMAR GOVT.CONTRACTOR,24-Dec-2019 05:09 PM,Accepted-AOC,Lowest,06-Sep-2020 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No. along with latest return of GST ( also see General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit containing the reality that the contractor has not more than two work in hand (General,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
