S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMR00-722- 14621-700 dt 29-02-2020,2020_HPIPH_35883_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"18,908",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Restoration of rain damages LWS Nahan Town in Tehsil Nahan Distt. Sirmour HP,"Drilling, Lowering, Assembling and Development of T/well 300mm dia 30 mtrs deep",Please refer Tender documents. ,NA ,"9,45,415",Civil Works,Tubewell ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,04-Mar-2020 09:00 AM,18-Mar-2020 11:30 AM,04-Mar-2020 09:00 AM,18-Mar-2020 11:00 AM,NA ,NA ,04-Mar-2020 09:00 AM,18-Mar-2020 11:00 AM,17-Apr-2020 04:35 PM,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as per NIT,AOC,Er JS Chauhan SE,Internal,Sudt WS AED EED CHD EE Nahan SE,Mandeep Gupta,13-Sep-2020 04:26 PM,finsummary_52745.pdf (639.37 KB),1.0,155306.0,Vats Associates,INR,"757,456","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2020_HPIPH_35883_4,NHN-SMR00-722- 14621-700 dt 29-02-2020,Restoration of rain damages LWS Nahan Town in Tehsil Nahan Distt. Sirmour HP,13-Sep-2020,"INR 945,415",90.0,Mandeep Gupta,13-Sep-2020 04:28 PM,AOC.pdf (639.00 KB),Award,Technical,Technical Bid Opening ummary,Mandeep Gupta,17-Apr-2020 04:28 PM,technical_52745.pdf,Finance,Financial Bid Summary,Mandeep Gupta,22-Apr-2020 11:07 AM,finance_52745.pdf,BOQ Comparative Chart,1.0,155085.0,ABTAR SINGH AND COMPANY,17-Mar-2020 07:46 PM,Rejected-Finance,Rejected,13-Sep-2020 04:27 PM,Dr Mandeep Gupta EE,Internal,TA SUpdt HDM DAO EE,Mandeep Gupta,17-Apr-2020 04:30 PM,17-Apr-2020 04:35 PM,techsummary_52745.pdf (103.31 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,155015.0,M/S Sharma Enterpirses,17-Mar-2020 10:05 PM,Rejected-Finance,Rejected,13-Sep-2020 04:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of Registration in Jal Shakti Vibhag as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,155347.0,popular pipes,18-Mar-2020 10:29 AM,Rejected-Finance,Rejected,13-Sep-2020 04:27 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,155306.0,Vats Associates,17-Mar-2020 10:47 PM,Accepted-AOC,AOC,13-Sep-2020 04:29 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking Joint venture is not allowed as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,UNderatking carefully study all terms and condition as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of same kind of work as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
