Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
20-Feb-2020 01:20 PM,12-Mar-2020 11:00 AM,20-Feb-2020 01:20 PM,11-Mar-2020 05:00 PM,NA ,NA ,20-Feb-2020 01:20 PM,11-Mar-2020 05:00 PM,18-May-2020 11:00 AM,"Strengthening of Internal roads at Ind. Area Jeetpur Bheri, Distt. Una (HP).","Strengthening of Internal roads at Ind. Area Jeetpur Bheri, Distt. Una (HP).",Please refer Tender documents. ,NA ,"1,42,92,352",Civil Works - Roads,NA ,Tender,120.0,180.0,Jeetpur Bheri,177203.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,Executive Engineer,HPSIDC Ltd. Shimla,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,ICICI BANK,HP SIDC Limited,Job No. 2,2020_SIDC_35323_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,75,400",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),AOC,Finance,Financial summary,Sushant Singh Negi,29-May-2020 03:24 PM,finance_51847.pdf,BOQ Comparative Chart,1.0,153660.0,M/s Bhagwati Construction Co.,11-Mar-2020 02:43 PM,Rejected-Finance,Third lowest bidder,29-May-2020 03:30 PM,Technical,Bid opening summary,Sushant Singh Negi,21-Mar-2020 11:14 AM,technical_51847.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager (P)",Sushant Singh Negi,16-May-2020 11:06 AM,18-May-2020 11:00 AM,techsummary_51847.pdf (624.69 KB),1.0,152283.0,Shiv Kumar Govt Contractor,INR,"13,429,668",25-Aug-2020,"INR 13,429,668",180.0,Sushant Singh Negi,11-Sep-2020 11:05 AM,jeetpurberi.pdf (2938.00 KB),Award letter,HP SIDC Limited,2020_SIDC_35323_1,Job No. 2,"Strengthening of Internal roads at Ind. Area Jeetpur Bheri, Distt. Una (HP).",SE,Internal,"DM, AE(HQ), Dy. Manager(P)EE(HQ)",Sushant Singh Negi,29-May-2020 03:30 PM,finsummary_51847.pdf (495.17 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,AOC,,,,,,,2.0,154139.0,Sanjal Sharma,11-Mar-2020 04:43 PM,Rejected-Finance,Second lowest bidder,29-May-2020 03:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signe copy of agreement form,AOC,,,,,,,3.0,152283.0,Shiv Kumar Govt Contractor,10-Mar-2020 10:20 AM,Accepted-AOC,lowest bidder,11-Sep-2020 11:06 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPT registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar nature of work done certificate (as per tender conditions).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery / equipment and skilled engineers/ technical staff,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of annual Financial Turn Over (with Breakup),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor working program,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
