S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
1.0,167074.0,ABTAR SINGH AND COMPANY,15-Jul-2020 10:36 AM,Rejected-Finance,Higher quoted rates,03-Sep-2020 12:52 PM,Er Parveen Kumar Sharma,Internal,As per document attached,Parveen Kumar Sharma,16-Jul-2020 02:17 PM,16-Jul-2020 03:00 PM,techsummary_56810.pdf (35.32 KB),Technical,As per document attached,Parveen Kumar Sharma,16-Jul-2020 02:07 PM,technical_56810.pdf,Finance,As per document attached,Parveen Kumar Sharma,16-Jul-2020 03:54 PM,finance_56810.pdf,BOQ Comparative Chart,03-Sep-2020,"INR 1,433,120",90.0,Parveen Kumar Sharma,03-Sep-2020 01:00 PM,Award-Re-bore-Mast-Ram.pdf (1218.00 KB),As per document attached,HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,2020_HPIPH_38459_1,GGT-UNA01-752 No. 1939-89 dt 01.07.2020 (Job-1),Re-bore of Drilling of Tubewell in place of Old Defunct Tubewell at LIS Andora Badoun in existing complex of Perculation well in Tehsil Ghanari Distt. Una (HP),1.0,166841.0,M/S. Mast Ram Jaswal And Co.,INR,"1,433,120",Er. S. K. Sharma,Internal,As per document attached,Parveen Kumar Sharma,03-Sep-2020 12:51 PM,finsummary_56810.pdf (35.34 KB),AOC,Executive Engineer,Executive Engineer JSV Flood Prot. Division Gagret,HP Irrigation and Public Health||IPH Circle Swan River Flood Management Project Una - HPIPH||Flood Protection Gagret - HPIPH,GGT-UNA01-752 No. 1939-89 dt 01.07.2020 (Job-1),2020_HPIPH_38459_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,Executive Engineer JSV Flood Prot. Division Gagret,Gagret,No,Re-bore of Drilling of Tubewell in place of Old Defunct Tubewell at LIS Andora Badoun in existing complex of Perculation well in Tehsil Ghanari Distt. Una (HP),Drilling Lowering of Assembly and Development of Tubewell 140 mtrs. Deep) (Under Head VKVNY,As per NIT ,NA ,"11,46,659",Civil Works,NA ,Tender,120.0,90.0,Works,177201.0,NA ,NA ,NA ,Executive Engineer JSV Flood Prot. Division Gagret,No ,No,"22,935",Yes,fixed,,Executive Engineer JSV Flood Prot. Division Gagret,Gagret,1.0,Fee/PreQual/Technical,.pdf,Registration in HP IPH Department as per NIT condition No. 11(I),01-Jul-2020 04:00 PM,15-Jul-2020 12:30 PM,01-Jul-2020 04:00 PM,15-Jul-2020 11:00 AM,01-Jul-2020 04:00 PM ,15-Jul-2020 11:00 AM ,01-Jul-2020 04:00 PM,15-Jul-2020 11:00 AM,16-Jul-2020 03:00 PM,1.0,ICICI BANK,AOC
2.0,167608.0,Lakshmi Drillers,15-Jul-2020 09:42 AM,Rejected-Finance,Higher quoted rates,03-Sep-2020 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender documents and Earnest money as per NIT condition No. 11(ii),,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
3.0,166841.0,M/S. Mast Ram Jaswal And Co.,15-Jul-2020 10:09 AM,Accepted-AOC,Lowest quoted rates,03-Sep-2020 01:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money Exemption necessary Affidavit as per NIT condition No. 11(iii),,,,,,,,,,,,AOC
4.0,167588.0,popular pipes,15-Jul-2020 10:11 AM,Rejected-Finance,Higher quoted rates,03-Sep-2020 12:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Income Tax, GST Regd No or their latest clearance certificate, copy of PAN as per NIT cond No.11(v)",,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest return of GST or Clearance certificate as per NIT condition No. 11(v),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit as per NIT condition No. 11(vi),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF as per NIT condition No. 11(vii),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Certificate regarding State Ground Water Authority as per NIT condition No. 11(viii),,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of work done.,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial bid,,,,,,,,,,,,AOC
