Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
05-Sep-2020,"INR 2,000,000",60.0,Narender verma,05-Sep-2020 05:54 PM,AOC60.pdf (2963.00 KB),WORK AWARDED TO SH. SUKHPAL,Er. K.L Chaudhary,Internal,"Er. D.S Kaundal AE, Sh. Ghanshyam Dass Supdt. G-II, Smt. Asha Kamal HDM, Sh. Balbir Singh Sr. Asstt. Sh. Ghan Shyam Jr. Asstt.",Narender verma,05-Sep-2020 05:49 PM,finsummary_43792.pdf (2962.64 KB),Er.K.L Chaudhary EE,Internal,"Sh. D.S Kaundal AE Sh.Ghanshyam Dass Supdt. G-II, Sh. Balbir Singh Sr. Asstt., Smt. Asha Kamal HDM, Sh. Ghan Shyam Jr. Asstt",Kishan Lal Chaudhary,05-Aug-2019 12:51 PM,05-Aug-2019 03:00 PM,techsummary_43792.pdf (227.10 KB),PWD,2019_PWD_30394_1,Restoration of rain damage on various roads under,Restoration of rain damage on various roads under Sarahan Sub-Division,Technical,SUMMARY,Kishan Lal Chaudhary,03-Aug-2019 03:52 PM,technical_43792.pdf,1.0,126437.0,sukhpal,31-Jul-2019 04:40 PM,Accepted-AOC,L1,05-Sep-2020 05:55 PM,1.0,126437.0,sukhpal,INR,"3,282,432",Finance,SUMMARY,Kishan Lal Chaudhary,07-Aug-2019 03:19 PM,finance_43792.pdf,BOQ Comparative Chart,AOC,500.0,EE RAJGARH,RAJGARH,No,PWD,Restoration of rain damage on various roads under,2019_PWD_30394_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Restoration of rain damage on various roads under Sarahan Sub-Division,"providing balance patch work on Sarahan Chandigarh road between Km 0/0 to 27/0, Dungaghat Bagthan road between km 0/0 to 3/0 AND 12/0 to 12/500, Marikaghat Dinger Mathanan road between km 8/500 to 22/0 and Maryog Narag Dharyar road between km 22/0 to",Please refer Tender documents. ,NA ,"20,00,304",Civil Works - Roads,NA ,Tender,90.0,60.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,1.0,DD - Demand Draft,"38,000",No,fixed,,EE RAJGARH,RAJGARH,24-Jul-2019 02:00 PM,01-Aug-2019 11:00 AM,24-Jul-2019 02:00 PM,31-Jul-2019 05:00 PM,NA ,NA ,24-Jul-2019 02:00 PM,31-Jul-2019 05:00 PM,05-Aug-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information bidders like to provide.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
