EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"17,000",Yes,fixed,,EE Gohar,Gohar/Chail Chowk,350.0,EE Gohar,Gohar/Chail Chowk,Yes,17-Dec-2019 05:00 PM,02-Jan-2020 11:00 AM,17-Dec-2019 05:00 PM,01-Jan-2020 05:00 PM,NA ,NA ,17-Dec-2019 05:30 PM,01-Jan-2020 05:00 PM,06-Jan-2020 01:00 PM,1.0,DD - Demand Draft,EE HPPWD Gohar,"Executive Engineer, Gohar Division, HPPWD Gohar",PWD,14202-41 dt. 11/12/2019,2019_PWD_33325_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"Construction of Veterinary Dispensary Building at Jayog in Tehsil Chachiot, Distt. Mandi HP (SH Const building portion with W.S and S.I Septic Tank and Rain water Harvesting system.","Construction of Veterinary Dispensary Building at Jayog in Tehsil Chachiot, Distt. Mandi HP (SH Const building portion with W.S and S.I Septic Tank and Rain water Harvesting system.",Please refer Tender documents. ,NA ,"8,44,516",Civil Works - Buildings,NA ,Rate Contract,120.0,365.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,Er.Ramesh Singh EE,Internal,"Er.Chaman Lal AE, Kehar Singh Supdt. Rattan Lal Supdt. Pankaj Chandel HDM.",Ramesh Singh,06-Jan-2020 11:17 AM,06-Jan-2020 01:00 PM,techsummary_48006.pdf (299.15 KB),PWD,2019_PWD_33325_1,14202-41 dt. 11/12/2019,"Construction of Veterinary Dispensary Building at Jayog in Tehsil Chachiot, Distt. Mandi HP (SH Const building portion with W.S and S.I Septic Tank and Rain water Harvesting system.",13-Sep-2020,"INR 844,516",365.0,Ramesh Singh,13-Sep-2020 02:39 PM,29.pdf (250.00 KB),AOC,Er. Ramesh Singh EE,Internal,"Chaman Lal AE,Kehar Singh Supdt., Pankaj Chandel HDM,",Ramesh Singh,15-Aug-2020 01:25 PM,finsummary_48006.pdf (127.53 KB),1.0,143250.0,ASHOK KUMAR,31-Dec-2019 06:23 PM,Rejected-AOC,L-2,13-Sep-2020 02:40 PM,Technical,Technical Bid opening summary,Ramesh Singh,06-Jan-2020 11:13 AM,technical_48006.pdf,1.0,143095.0,NEK RAM,INR,"889,832",Finance,Financial Summary,Ramesh Singh,15-Aug-2020 11:26 AM,finance_48006.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,143095.0,NEK RAM,31-Dec-2019 01:13 PM,Accepted-AOC,L-1,13-Sep-2020 02:40 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
