Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Category,Sub Category,Sub Category Description,Format/File,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Technical,ATTACHED,BHAL CHAND THAKUR,23-Jun-2020 02:04 PM,technical_55306.pdf,1.0,161534.0,PUNEET GOVT CONT,08-Jun-2020 12:10 PM,Rejected-Finance,L2,29-Sep-2020 06:24 PM,Finance,OK,BHAL CHAND THAKUR,29-Sep-2020 06:20 PM,finance_55306.pdf,BOQ Comparative Chart,1.0,161507.0,SURESH SHARMA GOVT CONTRACTOR,INR,"1,956,214",29-Sep-2020,"INR 2,212,068.8",90.0,BHAL CHAND THAKUR,29-Sep-2020 06:24 PM,SURESH.pdf (228.00 KB),,MAAN SINGH,Internal,,BHAL CHAND THAKUR,29-Sep-2020 06:23 PM,finsummary_55306.pdf (227.87 KB),ARVIND BHARDWAJ,Internal,,BHAL CHAND THAKUR,23-Jun-2020 02:15 PM,23-Jun-2020 02:20 PM,techsummary_55306.pdf (520.24 KB),PWD,2020_PWD_37522_4,PW_KSG_E-Tenders/19-20/6-10,Periodical maintenance on Kheel to Pangna road VR- 0075,AOC,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER- Indicated in Schedule F at Sr.No.6.3,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,EE KARSOG,EE KARSOG,"1,000",EE Karsog,Karsog,No,PWD,PW_KSG_E-Tenders/19-20/6-10,2020_PWD_37522_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Periodical maintenance on Kheel to Pangna road VR- 0075,"Periodical maintenance on Kheel to Pangna road VR- 0075 (Sub Head- Providing and laying 30 mm bituminous concrete, profile correction, Thermoplastic paint and V-shaped drain in Km. 4/00 to 5/500)",Please refer Tender documents. ,NA ,"14,73,792",Civil Works - Roads,NA ,Tender,180.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,PWD OFFICE KARSOG,No ,No,26-May-2020 05:00 PM,10-Jun-2020 02:00 PM,26-May-2020 05:00 PM,09-Jun-2020 12:00 PM,NA ,NA ,26-May-2020 05:00 PM,09-Jun-2020 12:00 PM,23-Jun-2020 02:20 PM,1.0,DD - Demand Draft,"30,000",Yes,fixed,,EE Karsog,Karsog,AOC
,,,,,2.0,161507.0,SURESH SHARMA GOVT CONTRACTOR,07-Jun-2020 07:11 PM,Accepted-AOC,OK,29-Sep-2020 06:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EARNEST MONEY-Indicated in Schedule F at Sr. No.6.5,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,CONTRACTORS REGISTRATION- Refer General Rule Sr. No 23,3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST REGISTRATION-Refer General Rule Sr. No 21,4.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,MANDATORY MACHINERY TOOL AND PLANTS as per Gen. Rules 25 and Schedule F Sr. No.6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No 8 duly signed Gen. Rule Sr. No 26.7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of both Gazatted and non gazatted officer HPPWD employees related to him Gen. Rule Sr.No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
