Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
07-Sep-2020,"INR 28,940,955",365.0,Arvind Chaudhary,08-Sep-2020 03:03 PM,Awardletter.pdf (986.00 KB),Awardletter,Er.G.S. Rana E.E.,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Tara Singh Superintendent Gr-II , Prem Chand Sr. Asstt. Kamal Sr. Assistant",Gurcharan Singh Rana,29-Jun-2020 07:26 PM,finsummary_56008.pdf (462.40 KB),Er.G.S. Rana E.E.,Internal,"Er. R.D. Sharma AE Harish Chander Head Draughtsman , Dinesh Kumar, DAO Jagpal Singh Supdt. Gr-II Tara Singh Supdt Gr-II , Kamal Sr. Asstt.",Gurcharan Singh Rana,26-Jun-2020 04:01 PM,29-Jun-2020 10:00 AM,techsummary_56008.pdf (517.02 KB),PWD,2020_PWD_38017_1,"Job 1 Construction of HPPWD Circuit House at Una,","Job 1 Construction of HPPWD Circuit House at Una, Tehsil and Distt. Una H.P Sub Head C.o Building Portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank and Septic Tank etc.",1.0,163504.0,unipro,INR,"36,930,337",Finance,Proceedingregardingopeningoffinancialbids,Gurcharan Singh Rana,29-Jun-2020 06:58 PM,finance_56008.pdf,BOQ Comparative Chart,Technical,TechnicalBidOpeningSummary,Gurcharan Singh Rana,22-Jun-2020 01:29 PM,technical_56008.pdf,1.0,163516.0,Dhreeraj Sharma,21-Jun-2020 07:01 PM,Rejected-Technical,As per technical Evaluation proceeding,26-Jun-2020 04:01 PM,AOC,PWD,"Job 1 Construction of HPPWD Circuit House at Una,",2020_PWD_38017_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una","5,000","Executive Engineer, Una Division, HPPWD, Una",Una,No,"Job 1 Construction of HPPWD Circuit House at Una, Tehsil and Distt. Una H.P Sub Head C.o Building Portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank and Septic Tank etc.","Job 1 Construction of HPPWD Circuit House at Una, Tehsil and Distt. Una H.P Sub Head C.o Building Portion, Water Supply and Sanitary Installation, Rain Water Harvesting Tank and Septic Tank etc.",Please refer to Bidding Documents ,NA ,"2,89,40,955",Civil Works - Buildings,NA ,Tender,120.0,365.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,15-Jun-2020 10:00 AM,22-Jun-2020 11:00 AM,15-Jun-2020 10:30 AM,22-Jun-2020 09:00 AM,NA ,NA ,15-Jun-2020 10:30 AM,22-Jun-2020 09:00 AM,29-Jun-2020 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"3,22,000",No,fixed,,"Executive Engineer, Una Division, HPPWD, Una",Una,1.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,163501.0,", D.S.Rathore",20-Jun-2020 04:27 PM,Rejected-Technical,As per Technical Bid Evaluation Proceeding,26-Jun-2020 04:01 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,163536.0,m/s kathuria constrution co.,20-Jun-2020 06:38 PM,Rejected-AOC,ok,08-Sep-2020 03:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No.23 ),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,163504.0,unipro,20-Jun-2020 05:09 PM,Accepted-AOC,ok,08-Sep-2020 03:04 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and copy of the latest return filed.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return filed,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity/ C.A. Annual Report a/w balance sheet as Per General Rules 28.2a and 28.2b,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit facility of minimum 10Percent of estimated cost from the Scheduled Bank be attached.,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,AOC
