Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
04-Sep-2020,"INR 1,493,213",60.0,Sanjiv Kumar Agnihotri,04-Sep-2020 12:47 PM,AOC.pdf (670.00 KB),Work Awarded,Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,09-Jul-2020 06:46 PM,finsummary_56622.pdf (617.16 KB),Er.S.K.Agnihotri EE,Internal,Supdt. HDM AO,Sanjiv Kumar Agnihotri,06-Jul-2020 04:14 PM,07-Jul-2020 10:30 AM,techsummary_56622.pdf (604.22 KB),PWD,2020_PWD_38328_1,Tender Notice Job2,C/O Link road from Rewar Bridge to House of Sh. Gopi Ram Julfi Ram Harizen Basti Lakhroon,Technical,Tech bid opened,Sanjiv Kumar Agnihotri,06-Jul-2020 04:11 PM,technical_56622.pdf,1.0,165673.0,Anita Devi,02-Jul-2020 11:11 AM,Accepted-AOC,Lowest,04-Sep-2020 12:47 PM,Finance,Fin bid opened,Sanjiv Kumar Agnihotri,09-Jul-2020 06:43 PM,finance_56622.pdf,BOQ Comparative Chart,1.0,165673.0,Anita Devi,INR,"1,493,213",AOC,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,24-Jun-2020 11:00 AM,04-Jul-2020 11:30 AM,24-Jun-2020 11:30 AM,03-Jul-2020 06:00 PM,NA ,NA ,24-Jun-2020 11:30 AM,03-Jul-2020 06:00 PM,07-Jul-2020 10:30 AM,1.0,SS - Small Savings Instrument,PWD,Tender Notice Job2,2020_PWD_38328_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,500.0,Executive Engineer HPPWD Division Bangana,Bangana,No,"22,700",Yes,fixed,,Executive Engineer HPPWD Division Bangana,Bangana,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,C/O Link road from Rewar Bridge to House of Sh. Gopi Ram Julfi Ram Harizen Basti Lakhroon,"Formation Cutting from RD. 0/500 to 1/000 and C/O 3.00 Meter Span RCC Slab Culvert at RD. 0.710 and P/L Soling , Wearing , M/T With Seal Coat in km. 0/500 to 1/000",Please refer Tender documents. ,NA ,"11,28,551",Civil Works,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,165674.0,Ram,02-Jul-2020 11:25 AM,Rejected-AOC,Higher side,04-Sep-2020 12:47 PM,,,,,,,,,,,,AOC,,,.pdf,Earnest Money (Indicated in Schedule F),,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate on prescribed format given in bidding document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery tool and plant with proof of ownership or letie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
