Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
15-Sep-2020,"INR 5,968,664",183.0,Prithi Pal Singh,15-Sep-2020 12:58 PM,38051.PDF (141.00 KB),"Executive Engineer-Chairman, Executive Engineer-Chairman,",Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,15-Sep-2020 12:52 PM,finsummary_56077.pdf (130.47 KB),"Executive Engineer-Chairman,",Internal,"Divisional Accountant-Member, Superintendent Gr-II- Member, Divisional Head Draughtsman-Member, AE to EE -Member",Prithi Pal Singh,20-Jun-2020 11:07 AM,24-Jun-2020 11:00 AM,techsummary_56077.pdf (161.47 KB),PWD,2020_PWD_38051_1,PW-SKT-CB-Tender/2019- 20 22650-53 dated 17.03.,Construction of Science lab in Govt Senior Secondry School at Rakoh in Tehsil Sarkaghat Distt. Mandi (HP,Technical,Admittd,Prithi Pal Singh,18-Jun-2020 01:09 PM,None,1.0,163116.0,Ajay Kumar Thakur,18-Jun-2020 08:51 AM,Accepted-AOC,L1,15-Sep-2020 12:59 PM,Finance,Admitted,Prithi Pal Singh,24-Jun-2020 06:09 PM,None,BOQ Comparative Chart,1.0,163116.0,Ajay Kumar Thakur,INR,"9,088,174",AOC,"2,000",EE Sarkaghat,Sarkaghat,No,"Executive Engineer,","Executive Engineer, Sarkaghat Division, HP.PWD, Sarkaghat","92,200",No,fixed,,EE Sarkaghat,Sarkaghat,PWD,PW-SKT-CB-Tender/2019- 20 22650-53 dated 17.03.,2020_PWD_38051_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,13-Jun-2020 09:00 AM,18-Jun-2020 11:30 AM,13-Jun-2020 09:00 AM,18-Jun-2020 11:00 AM,13-Jun-2020 09:00 AM ,18-Jun-2020 11:00 AM ,13-Jun-2020 09:00 AM,18-Jun-2020 11:00 AM,24-Jun-2020 11:00 AM,1.0,PW-SKT-CB-Tender/20202644-47 dated 16.05.2020,Other,,Construction of Science lab in Govt Senior Secondry School at Rakoh in Tehsil Sarkaghat Distt. Mandi (HP,"(SH- Construction of Building portion including W.S. S.I., Rain water harvesting tank and Septic etc.",Please refer Tender documents. ,NA ,"59,68,664",Civil Works - Roads,NA ,Rate Contract,90.0,183.0,Sarkaghat,175024.0,NA ,NA ,NA ,Sarkaghat,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,163071.0,Kumar Associates,17-Jun-2020 04:22 PM,Rejected-Finance,L2,15-Sep-2020 12:53 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule No. 27),,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule 21),,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Done certificate (General Rule 19 28.02b),,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,From No 8 duly signed by Contractor,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration.,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand detail (General Rule 19 28.02b),,,,,,AOC
