Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
15-Sep-2020,"INR 2,776,969",180.0,Suresh Kumar Walia,15-Sep-2020 12:26 PM,Award.pdf (209.00 KB),Award,Dr Suresh Kumar walia,Internal,Er JN Sharma AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,15-Sep-2020 12:21 PM,finsummary_58472.pdf (191.91 KB),Dr Suresh Kumar walia,Internal,Er JN Sharma AE Ajit Kumar Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Suresh Kumar Walia,29-Aug-2020 04:01 PM,02-Sep-2020 02:30 PM,techsummary_58472.pdf (838.26 KB),PWD,2020_PWD_39600_1,PWD Civil Work 4521-50- Tanda,"Construction of Bandi Matriari road 0/000 to 3/650 in Distt. Kangra (H..P.). (SH-Balance work of Edge wall, metalling and tarring in Km 0/000 to 1/200)",Technical,Sum,Suresh Kumar Walia,29-Aug-2020 03:57 PM,technical_58472.pdf,1.0,174839.0,AMIT KUMAR SHARMA,24-Aug-2020 03:52 PM,Rejected-Technical,Not Fulfill criteria,29-Aug-2020 04:02 PM,1.0,173812.0,Rahul,INR,"2,776,969",Finance,Sum,Suresh Kumar Walia,03-Sep-2020 02:26 PM,finance_58472.pdf,BOQ Comparative Chart,AOC,06-Aug-2020 01:00 PM,25-Aug-2020 11:30 AM,06-Aug-2020 01:00 PM,24-Aug-2020 05:00 PM,NA ,NA ,06-Aug-2020 01:00 PM,24-Aug-2020 05:00 PM,02-Sep-2020 02:30 PM,PWD,PWD Civil Work 4521-50- Tanda,2020_PWD_39600_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"47,500",No,fixed,,Executive Engineer HP PWD Tanda,Tanda at Nagrota Bagwan,"Construction of Bandi Matriari road 0/000 to 3/650 in Distt. Kangra (H..P.). (SH-Balance work of Edge wall, metalling and tarring in Km 0/000 to 1/200)","Construction of Bandi Matriari road 0/000 to 3/650 in Distt. Kangra (H..P.). (Sh-Balance work of Edge wall, metalling and tarring in Km 0/000 to 1/200)",Please refer Tender documents. ,NA ,"23,75,000",Civil Works - Roads,NA ,Tender,120.0,180.0,Tanda,176002.0,NA ,NA ,NA ,EE HP PWD Division Tanda at Nagrota Bagwan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in Shape of DD as per SBD,1.0,DD - Demand Draft,Executive Engineer,EE HP PWD Division Tanda at Nagrota Bagwan,500.0,Executive Engineer HP PWD Tanda,Kangra,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,174606.0,ATUL RANA GOVT CONTRACTOR,24-Aug-2020 03:01 PM,Rejected-AOC,Lowest 3,15-Sep-2020 12:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money in shape of FDR as per SBD,2.0,FDR - Fixed Deposit,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,173781.0,PARDEEP KUMAR,24-Aug-2020 08:48 AM,Rejected-Technical,Not Fulfill criteria,29-Aug-2020 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,173812.0,Rahul,24-Aug-2020 04:20 PM,Accepted-AOC,Lowest 1,15-Sep-2020 12:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,174777.0,Shadil Thakur,24-Aug-2020 12:50 PM,Rejected-AOC,Lowest 2,15-Sep-2020 12:27 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,174717.0,Ujjawal Singh,24-Aug-2020 08:18 AM,Rejected-Technical,Not Fulfill criteria,29-Aug-2020 04:02 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,AOC
