Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Technical,Opening summary,Sushant Singh Negi,27-Feb-2020 01:17 PM,technical_50570.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager(P)",Sushant Singh Negi,19-May-2020 10:46 AM,20-May-2020 11:00 AM,techsummary_50570.pdf (758.14 KB),1.0,149805.0,ARUN KUMAR SHARMA,23-Feb-2020 01:06 PM,Rejected-Finance,Second lowest bidder,29-May-2020 02:40 PM,Finance,Financial summary,Sushant Singh Negi,29-May-2020 02:38 PM,finance_50570.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), Dy. Manager(P),EE",Sushant Singh Negi,29-May-2020 02:40 PM,finsummary_50570.pdf (488.22 KB),HP SIDC Limited,2020_SIDC_34551_1,Job No. 13,Providing Electrical Installation in ITI Building at Dharampur Distt. Solan (HP).,25-Aug-2020,"INR 3,815,030",180.0,Sushant Singh Negi,24-Sep-2020 03:26 PM,ratwandharampur.pdf (1901.00 KB),Award letter,1.0,150587.0,Ratwan Light House,INR,"3,815,030",AOC,Executive Engineer,HPSIDC Ltd. Shimla,03-Feb-2020 01:45 PM,25-Feb-2020 11:00 AM,03-Feb-2020 01:45 PM,24-Feb-2020 05:00 PM,NA ,NA ,03-Feb-2020 01:45 PM,24-Feb-2020 05:00 PM,20-May-2020 11:00 AM,HP SIDC Limited,Job No. 13,2020_SIDC_34551_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"77,700",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,"5,400",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per Tender Conditions),Providing Electrical Installation in ITI Building at Dharampur Distt. Solan (HP).,Providing Electrical Installation in ITI Building at Dharampur Distt. Solan (HP).,Please refer Tender documents. ,NA ,"46,80,972",Electrical Works,NA ,Tender,120.0,180.0,Dharampur (Solan),173212.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,2.0,150118.0,GURU NANAK ELECTRICALS,23-Feb-2020 10:41 PM,Rejected-Technical,The successfully completed similar type of work done has not submitted as per tender condition,19-May-2020 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,3.0,150503.0,Rajesh Kumar Jaswal,24-Feb-2020 12:33 PM,Rejected-Finance,Third lowest bidder,29-May-2020 02:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than two works in hand each or Rs. 100.00 lacs or more.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,150587.0,Ratwan Light House,24-Feb-2020 03:14 PM,Accepted-AOC,lowest bidder,24-Sep-2020 03:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,copy of successfully completed similar nature of work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC
