Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Opening Summary,Sushant Singh Negi,06-Feb-2020 11:14 AM,technical_49490.pdf,SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,29-Feb-2020 03:15 PM,02-Mar-2020 11:00 AM,techsummary_49490.pdf (824.24 KB),1.0,147641.0,AMIT CHOUDHARY,31-Jan-2020 03:33 PM,Rejected-Finance,Fifth lowest bidder,13-Mar-2020 04:51 PM,Finance,Financial summary,Sushant Singh Negi,13-Mar-2020 04:28 PM,finance_49490.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), Dy. Manager(P) , EE(HQ)",Sushant Singh Negi,13-Mar-2020 04:51 PM,finsummary_49490.pdf (551.62 KB),HP SIDC Limited,2020_SIDC_34079_1,Job No. 2,"SRMO road, road side drains and berms at I.A Nagrota Bagwan, Distt. Kangra (HP). (SH- C/o road and berms with interlocking paver tiles).",22-May-2020,"INR 7,644,317",180.0,Sushant Singh Negi,11-Sep-2020 12:54 PM,nagrotabagwan.pdf (2494.00 KB),Award letter,1.0,146498.0,Arun Kumar,INR,"7,644,317",AOC,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per tender conditions),"SRMO road, road side drains and berms at I.A Nagrota Bagwan, Distt. Kangra (HP). (SH- C/o road and berms with interlocking paver tiles).","SRMO road, road side drains and berms at I.A Nagrota Bagwan, Distt. Kangra (HP). (SH- C/o road and berms with interlocking paver tiles).",Please refer Tender documents. ,NA ,"66,99,798",Civil Works,NA ,Tender,120.0,180.0,Nagrota Bagwan (Kangra),176047.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Ltd. Shimla,"99,500",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,15-Jan-2020 03:50 PM,01-Feb-2020 11:00 AM,15-Jan-2020 03:50 PM,31-Jan-2020 05:00 PM,NA ,NA ,15-Jan-2020 03:50 PM,31-Jan-2020 05:00 PM,02-Mar-2020 11:00 AM,HP SIDC Limited,Job No. 2,2020_SIDC_34079_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,2.0,146498.0,Arun Kumar,31-Jan-2020 01:15 PM,Accepted-AOC,lowest bidder,11-Sep-2020 12:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,147271.0,Bhag Singh,30-Jan-2020 02:48 PM,Rejected-Technical,The successfully completed similar type of work done of minimum amount not less than 40 percent of estimated cost in last five years has not been submitted as per condition of tender.,29-Feb-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,146213.0,Navneet Thakur,31-Jan-2020 01:28 PM,Rejected-Technical,Inappropriate Contractor Class,29-Feb-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,5.0,147575.0,Ravinder Kumar,31-Jan-2020 11:18 AM,Rejected-Finance,Third lowest bidder,13-Mar-2020 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,6.0,146826.0,SANDHIR MALHI,31-Jan-2020 01:44 PM,Rejected-Technical,The successfully completed similar type of work done of minimum amount not less than 40 percent of estimated cost in last five years has not been submitted as per condition of tender.,29-Feb-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of latest ITR and pan card No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,7.0,146258.0,SANJAY SONI,31-Jan-2020 01:24 PM,Rejected-Technical,Inappropriate Contractor Class,29-Feb-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of successfully completed similar nature of work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,8.0,145109.0,Sanjay Thakur,31-Jan-2020 02:02 PM,Rejected-Finance,Second lowest bidder,13-Mar-2020 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of machinery/equipments and skilled Engineer/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,9.0,146739.0,sourav mahajan,30-Jan-2020 06:13 PM,Rejected-Technical,The successfully completed similar type of work done of minimum amount not less than 40 percent of estimated cost in last five years has not been submitted as per condition of tender.,29-Feb-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of existing commitments/ ongoing works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,10.0,147333.0,Sushil Chauhan,31-Jan-2020 04:53 PM,Rejected-Finance,Fourth lowest bidder,13-Mar-2020 04:51 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Detail of financial Turnover (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
