EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"37,000",No,fixed,,EE HPPWD KARSOG,KARSOG,EE HPPWD KARSOG,KARSOG,PWD,PWKSG_E TENDER/2019-20 91441-51,2020_PWD_36312_1,Yes,Open Tender,Piece-work,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,1.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,17-Mar-2020 09:00 AM,26-Mar-2020 09:00 AM,17-Mar-2020 09:00 AM,24-Mar-2020 09:00 AM,NA ,NA ,17-Mar-2020 09:00 AM,24-Mar-2020 09:00 AM,05-May-2020 01:20 PM,"1,000",EE KARSOG,KARSOG,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form,"(SH Providing and Laying 30 mm Bituminous concrete including profile correction, Thermoplastic paint and V-Shape drain in Km 2/00 to 4/00)","Periodic Maintenance on Kheel Pangna road VR-0075 (SH Providing and Laying 30 mm Bituminous concrete including profile correction, Thermoplastic paint and V-Shape drain in Km 2/00 to 4/00)",Please refer Tender documents. ,NA ,"19,65,083",Civil Works - Roads,NA ,Tender,30.0,90.0,KARSOG,175011.0,NA ,NA ,NA ,EE KARSOG,No ,No,AOC,1.0,156191.0,PUNEET GOVT CONT,21-Mar-2020 01:16 PM,Rejected-Finance,L2,30-Sep-2020 04:42 PM,Technical,ATTACHED,Maan Singh,05-May-2020 12:53 PM,technical_53560.pdf,Finance,OK,Maan Singh,30-Sep-2020 04:39 PM,finance_53560.pdf,BOQ Comparative Chart,1.0,156087.0,SURESH SHARMA GOVT CONTRACTOR,INR,"2,608,380",PWD,2020_PWD_36312_1,PWKSG_E TENDER/2019-20 91441-51,"(SH Providing and Laying 30 mm Bituminous concrete including profile correction, Thermoplastic paint and V-Shape drain in Km 2/00 to 4/00)",MAAN SINGH,Internal,,Maan Singh,05-May-2020 01:16 PM,05-May-2020 01:20 PM,techsummary_53560.pdf (699.74 KB),MAAN SINGH,Internal,,Maan Singh,30-Sep-2020 04:41 PM,finsummary_53560.pdf (243.55 KB),30-Sep-2020,"INR 2,943,055",90.0,Maan Singh,30-Sep-2020 04:42 PM,SURESH.pdf (244.00 KB),,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,.pdf,EMD Indicated In Schedule F.,,,,,,,,,,,,,,,,,,,AOC,2.0,156087.0,SURESH SHARMA GOVT CONTRACTOR,20-Mar-2020 07:08 PM,Accepted-AOC,L1,30-Sep-2020 04:44 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Regarding No Relative Working in PWD Department.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Detail Litigation Cases.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done as per Genral Rule 19 and 28.2b similar nature of Work and Working In Hand Certificate.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Performa of Schedules Sr No 6.19 Refere Clause No 18 with ownership proof,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Copy.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Document,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST No.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
