Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
HP SIDC Limited,Job No. 2,2020_SIDC_37626_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration (as per tender conditions),Executive Engineer,HPSIDC Ltd. Shimla,29-May-2020 01:00 PM,17-Jun-2020 11:00 AM,29-May-2020 01:00 PM,16-Jun-2020 05:00 PM,NA ,NA ,29-May-2020 01:00 PM,16-Jun-2020 05:00 PM,25-Jun-2020 11:00 AM,Providing flood protection work in right bank Chanour Khad RD 1300 to 1800 to protect Industrial Area Chanour Distt. Kangra (HP).,Providing flood protection work in right bank Chanour Khad RD 1300 to 1800 to protect Industrial Area Chanour Distt. Kangra (HP).,Please refer Tender documents. ,NA ,"1,06,22,479",Civil Works,NA ,Tender,120.0,120.0,Chanour,176402.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,1.0,ICICI BANK,"1,38,700",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,AOC,Finance,Financial summary,Sushant Singh Negi,30-Jun-2020 01:07 PM,finance_55452.pdf,BOQ Comparative Chart,SE,Internal,"DM, AE(HQ), DY. Manager(P), EE(HQ)",Sushant Singh Negi,24-Jun-2020 04:19 PM,25-Jun-2020 11:00 AM,techsummary_55452.pdf (886.59 KB),Technical,Tender opening detail,Sushant Singh Negi,23-Jun-2020 11:15 AM,technical_55452.pdf,1.0,162232.0,Ashwani Kumar Govt Contractor,16-Jun-2020 12:06 PM,Rejected-Finance,Eight lowest bidder,03-Jul-2020 03:15 PM,09-Jul-2020,"INR 12,694,657",120.0,Sushant Singh Negi,11-Sep-2020 12:23 PM,beetan2.pdf (2360.00 KB),Award letter,1.0,162316.0,Deepak Kumar Beetan,INR,"12,694,657",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,03-Jul-2020 03:15 PM,finsummary_55452.pdf (597.04 KB),HP SIDC Limited,2020_SIDC_37626_1,Job No. 2,Providing flood protection work in right bank Chanour Khad RD 1300 to 1800 to protect Industrial Area Chanour Distt. Kangra (HP).,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,162316.0,Deepak Kumar Beetan,16-Jun-2020 04:39 PM,Accepted-AOC,Lowest bidder,11-Sep-2020 12:24 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,162319.0,gagan ohri,15-Jun-2020 06:48 PM,Rejected-Finance,Fourth lowest bidder,03-Jul-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,162490.0,malkiat singh govt cont,16-Jun-2020 03:27 PM,Rejected-Finance,Second lowest bidder,03-Jul-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5.0,162577.0,rajat thakur govt contractor,15-Jun-2020 03:57 PM,Rejected-Finance,Sixth lowest bidder,03-Jul-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6.0,162779.0,Raman Kumar JAswal,16-Jun-2020 03:44 PM,Rejected-Finance,Third lowest bidder,03-Jul-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed similar nature of work done certificate (as per tender condition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7.0,161605.0,Ravi Kumar Thakur,15-Jun-2020 11:04 AM,Rejected-Technical,The successfully completed similar type of work done has not submitted as per tender eligibility criteria,24-Jun-2020 04:19 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Copy of annual financial turn over with breakup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8.0,162842.0,sanjeev kumar,16-Jun-2020 04:48 PM,Rejected-Finance,Fifth lowest bidder,03-Jul-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery/ equipment and skilled engineers/ technical staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9.0,162746.0,SS CONSTRUCTION COMPANY,16-Jun-2020 03:59 PM,Rejected-Finance,Seventh lowest bidder,03-Jul-2020 03:15 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of existing commitments/ ongoing work in hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
