S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
1.0,157859.0,Raj Kumar,INR,"12,826,683",Finance,Fin bid opened,Sanjiv Kumar Agnihotri,10-Jun-2020 05:09 PM,finance_54475.pdf,BOQ Comparative Chart,Technical,Tech bid opened,Sanjiv Kumar Agnihotri,09-Jun-2020 11:07 AM,technical_54475.pdf,1.0,157883.0,Chander Kumar,08-May-2020 03:46 PM,Rejected-AOC,Higher side,15-Sep-2020 09:57 AM,15-Sep-2020,"INR 12,826,683",270.0,Sanjiv Kumar Agnihotri,15-Sep-2020 09:55 AM,AOC.pdf (1282.00 KB),Work Awarded,Er Sanjiv Kumar EE,Internal,Supdt HDM DAO,Sanjiv Kumar Agnihotri,10-Jun-2020 05:14 PM,finsummary_54475.pdf (112.66 KB),Er Sanjiv Kumar EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,09-Jun-2020 11:11 AM,10-Jun-2020 10:30 AM,techsummary_54475.pdf (119.26 KB),PWD,2020_PWD_36916_1,PW/BGN//T-I/2019-20-15946-70 dt.4.3.20,Construction MT of Link road from UAM road to Malanger via Dugar GhattiPlataRakkarKushan Bramman Tarkhanka and Bhaleti Bhugrian Dohgi km 0000 to 5805 under NABARD RIDFXXVSH Co 57 mtr wide Formation cutting and filling Retaining wall Cross Drainage,AOC,"1,16,000",No,fixed,,Executive Engineer,Executive Engineer,02-May-2020 05:00 PM,11-May-2020 11:30 AM,02-May-2020 05:00 PM,08-May-2020 05:00 PM,NA ,NA ,02-May-2020 05:00 PM,08-May-2020 05:00 PM,10-Jun-2020 10:30 AM,1.0,DD - Demand Draft,"Executive Engineer,","Executive Engineer, Bangana Division, HP.PWD. Bangana",PWD,PW/BGN//T-I/2019-20-15946-70 dt.4.3.20,2020_PWD_36916_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,"2,000",Executive Engineer,Executive Engineer,Yes,Construction MT of Link road from UAM road to Malanger via Dugar GhattiPlataRakkarKushan Bramman Tarkhanka and Bhaleti Bhugrian Dohgi km 0000 to 5805 under NABARD RIDFXXVSH Co 57 mtr wide Formation cutting and filling Retaining wall Cross Drainage,Construction MT of Link road from UAM road to Malanger via Dugar GhattiPlataRakkarKushan Bramman Tarkhanka and Bhaleti Bhugrian Dohgi km 0000 to 5805 under NABARD RIDFXXVSH Co 57 mtr wide Formation cutting and filling Retaining wall Cross Drainage,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,270.0,Bangana,174307.0,NA ,NA ,NA ,"Executive Engineer,",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),AOC
,,,,,,,,,,,,,,,,2.0,157859.0,Raj Kumar,08-May-2020 04:55 PM,Accepted-AOC,Lowest,15-Sep-2020 09:57 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and latest assessment,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,AOC
