Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Tech bid opened,Sanjiv Kumar Agnihotri,04-Jun-2020 05:34 PM,technical_54862.pdf,1.0,159200.0,Ram,22-May-2020 01:39 PM,Accepted-AOC,Lowest,04-Sep-2020 12:18 PM,Finance,Fin bid opened,Sanjiv Kumar Agnihotri,06-Jun-2020 08:03 PM,finance_54862.pdf,BOQ Comparative Chart,1.0,159200.0,Ram,INR,"3,620,902",Er Sanjiv Kumar EE,Internal,Supdt. HDM DAO,Sanjiv Kumar Agnihotri,06-Jun-2020 08:07 PM,finsummary_54862.pdf (95.52 KB),04-Sep-2020,"INR 3,620,902",180.0,Sanjiv Kumar Agnihotri,04-Sep-2020 12:17 PM,AOC.pdf (3794.00 KB),Work Awarded,PWD,2020_PWD_37209_1,PWBGNCBT-I201920 14553-93 dt 12.02.2020 corrigen,Construction of outdoor stadium at ThanakalanSH Construction of Pavilion,Er Sanjiv Kumar EE,Internal,Supdt HDM AO,Sanjiv Kumar Agnihotri,04-Jun-2020 05:37 PM,06-Jun-2020 10:30 AM,techsummary_54862.pdf (96.48 KB),AOC,1.0,DD - Demand Draft,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,PWD,PWBGNCBT-I201920 14553-93 dt 12.02.2020 corrigen,2020_PWD_37209_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender ( Indicated in Schedule F),"1,500",Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,No,"47,500",No,fixed,,Executive Engineer HPWD Bangana,Executive Engineer HPWD Bangana,16-May-2020 10:00 AM,23-May-2020 11:30 AM,16-May-2020 10:00 AM,22-May-2020 05:00 PM,NA ,NA ,16-May-2020 10:00 AM,22-May-2020 05:00 PM,06-Jun-2020 10:30 AM,Construction of outdoor stadium at ThanakalanSH Construction of Pavilion,Construction of outdoor stadium at ThanakalanSH Construction of Pavilion,Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,120.0,180.0,Bangana,174307.0,NA ,NA ,NA ,Executive Engineer HPWD Bangana,No ,No,AOC
,,,,,2.0,159209.0,Salochna Devi Govt Contractor,22-May-2020 03:03 PM,Rejected-AOC,Higher side,04-Sep-2020 12:18 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money ( Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.23 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in Bidding Document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery Tool Plant with proof of ownership or legal tie-up and list of laboratory equipmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officer HPPWD employees related to him ( General Rule No.16 ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no litigation with the department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
