Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Instrument Type,Cover No,Cover,Document Type,Description,Tender Stage
Er. Ramesh Singh EE,Internal,"Chaman Lal AE,Kehar Singh Supdt., Pankaj Chandel HDM,",Ramesh Singh,15-Aug-2020 01:28 PM,finsummary_48004.pdf (123.64 KB),13-Sep-2020,"INR 896,688",180.0,Ramesh Singh,13-Sep-2020 02:33 PM,27.pdf (459.00 KB),AOC,PWD,2019_PWD_33322_1,14202-41 dt. 11/12/2019,Construction of Got Khad to Biju road km.0/0 to 2/0 (SH-C/o 6.00 mtr. Span RCC. Slab Culvert with Wing Wall at R.D.0/825)Under SCCP,Er. Ramesh Singh EE,Internal,"Er.Chaman Lal AE, Kehar Singh Supdt. Rattan Lal Supdt. Pankaj Chandel HDM.",Ramesh Singh,06-Jan-2020 11:20 AM,06-Jan-2020 01:00 PM,techsummary_48004.pdf (308.29 KB),1.0,142613.0,Devinder Singh,INR,"1,149,142",Finance,Financial Summary,Ramesh Singh,15-Aug-2020 11:27 AM,finance_48004.pdf,BOQ Comparative Chart,Technical,Technical Bid Opening Summary,Ramesh Singh,06-Jan-2020 10:47 AM,technical_48004.pdf,1.0,143432.0,ANIL KUMAR,01-Jan-2020 04:30 PM,Rejected-AOC,L-3,13-Sep-2020 02:34 PM,AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,17-Dec-2019 05:00 PM,02-Jan-2020 11:00 AM,17-Dec-2019 05:00 PM,01-Jan-2020 05:00 PM,NA ,NA ,17-Dec-2019 05:30 PM,01-Jan-2020 05:00 PM,06-Jan-2020 01:00 PM,Construction of Got Khad to Biju road km.0/0 to 2/0 (SH-C/o 6.00 mtr. Span RCC. Slab Culvert with Wing Wall at R.D.0/825)Under SCCP,Construction of Got Khad to Biju road km.0/0 to 2/0 (SH-C/o 6.00 mtr. Span RCC. Slab Culvert with Wing Wall at R.D.0/825)Under SCCP,Please refer Tender documents. ,NA ,"8,96,688",Civil Works,NA ,Rate Contract,120.0,180.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,"18,000",Yes,fixed,,EE Gohar,Gohar/Chail Chowk,PWD,14202-41 dt. 11/12/2019,2019_PWD_33322_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,EE HPPWD Gohar,"Executive Engineer, Gohar Division HP.PWD.Gohar",350.0,EE Gohar,Gohar/Chail Chowk,Yes,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,142613.0,Devinder Singh,26-Dec-2019 07:08 PM,Accepted-AOC,L-1,13-Sep-2020 02:34 PM,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,The earnest money indicated in schedule F,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,143167.0,MANOJ KUMAR,31-Dec-2019 02:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,06-Jan-2020 10:47 AM,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,143392.0,PANKAJ KUMAR,01-Jan-2020 03:04 PM,Rejected-AOC,L-2,13-Sep-2020 02:34 PM,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,AOC
