Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
01-Nov-2019,"INR 10,308,003",365.0,Arvind Lakhanpal,06-Sep-2020 02:34 PM,Cowsanct.pdf (617.00 KB),award,EE,Internal,SUPDTHDMDAO,Swaroop Kumar,06-Sep-2019 06:50 PM,finsummary_44523.pdf (132.74 KB),EE,Internal,SUPDTHDMAEDSC Holder,Swaroop Kumar,30-Aug-2019 03:50 PM,02-Sep-2019 10:30 AM,techsummary_44523.pdf (155.61 KB),PWD,2019_PWD_30936_1,.PW/TDD/GA-NIT/2019-3998 dt. 03.08.2019,Construction of Cow Sanctuary at Kheri Tehsil Sujanpur Distt. Hamirpur (HP),Technical,Bid Summary Document,Swaroop Kumar,29-Aug-2019 06:24 PM,technical_44523.pdf,1.0,129171.0,BIRENDRA KUMAR,28-Aug-2019 09:07 PM,Accepted-AOC,Lowest,06-Sep-2020 02:35 PM,1.0,129171.0,BIRENDRA KUMAR,INR,"11,127,551",Finance,bidsummary,Swaroop Kumar,03-Sep-2019 01:28 PM,finance_44523.pdf,BOQ Comparative Chart,AOC,1.0,DD - Demand Draft,"2,000","Executive Engineer, HPPWD Division Tauni Devi",Hamirpur,Yes,PWD,.PW/TDD/GA-NIT/2019-3998 dt. 03.08.2019,2019_PWD_30936_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form DD must be payable at SBI Hamirpur,19-Aug-2019 06:30 PM,29-Aug-2019 11:00 AM,19-Aug-2019 06:30 PM,29-Aug-2019 10:30 AM,NA ,NA ,19-Aug-2019 06:30 PM,29-Aug-2019 10:30 AM,02-Sep-2019 10:30 AM,"1,24,500",Yes,fixed,,EE Tauni Devi,Hamirpur,Construction of Cow Sanctuary at Kheri Tehsil Sujanpur Distt. Hamirpur (HP),C/O building portion (4Nos Cow shed) and W.S. S.I.,Please refer Tender documents. ,NA ,"91,53,858",Civil Works,NA ,Tender,120.0,365.0,Tauni Devi,177023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Tauni Devi",No ,No,"Executive Engineer, HPPWD Division Tauni Devi","Executive Engineer, HPPWD Division Tauni Devi",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,129173.0,PANKAJ KUMAR,27-Aug-2019 09:39 PM,Rejected-AOC,Higher,06-Sep-2020 02:35 PM,,,,,,,,,,,,AOC,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,129253.0,SUPER CONSTRUCTION,28-Aug-2019 06:53 PM,Rejected-Technical,Non Responsive Work in hand certificate not given on the prescribed format given in SBD.,30-Aug-2019 03:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration(General Rule No. 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,GTS Registration (General Rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate (General Rule No. 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand Certificate (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool , Plant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him (General Rule No.16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that the contractor has not more than two work in hand (General Rule No. 28.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
