Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Tender Stage
Technical,Technical Bid Opening Summary,Paresh Chauhan,01-Feb-2020 02:32 PM,technical_49583.pdf,1.0,147344.0,Manoj Kumar,29-Jan-2020 04:07 PM,Rejected-Technical,Non-Responsive,05-Feb-2020 04:08 PM,Finance,Financial Bid Opening Summary,Paresh Chauhan,05-Feb-2020 04:14 PM,finance_49583.pdf,BOQ Comparative Chart,1.0,147631.0,RAJESH SHARMA,INR,"7,396,968",ErSudhirKumarGuptaEE,Internal,ShPremRajMeenDAOShRamSawaroopSupdtShSureshKumarVermaHDM,Sudhir Kumar Gupta,19-Sep-2020 12:49 PM,finsummary_49583.pdf (189.79 KB),19-Sep-2020,"INR 6,274,412",180.0,Sudhir Kumar Gupta,19-Sep-2020 12:53 PM,2020-34142-1.pdf (260.00 KB),AOC,PWD,2020_PWD_34142_1,PW.SRDD-CB-CTR-2019-20 15983 DT.12.12.19,Improvement of junction point at Dhalli on Shimla Mandi road km 6/00 to 6/062 under Smart city Shimla,Er. Sudhir Kumar Gupta,Internal,Sh. Ram Swaroop Supdtt. Sh. Prem Raj Meena DAO Sh. Suresh Verma HDM Sh. Ramesh Thakur TA,Paresh Chauhan,05-Feb-2020 04:08 PM,05-Feb-2020 04:10 PM,techsummary_49583.pdf (287.65 KB),AOC,PWD,PW.SRDD-CB-CTR-2019-20 15983 DT.12.12.19,2020_PWD_34142_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000",EE Dhami,Dhami,No,EE Dhami,SHIMLA RURAL DIVISION DHAMI,17-Jan-2020 06:00 PM,01-Feb-2020 11:00 AM,17-Jan-2020 06:30 PM,31-Jan-2020 05:00 PM,NA ,NA ,17-Jan-2020 06:30 PM,31-Jan-2020 05:00 PM,05-Feb-2020 04:10 PM,Improvement of junction point at Dhalli on Shimla Mandi road km 6/00 to 6/062 under Smart city Shimla,"SH C/O PCC R/wall , W-metal beam crash barrier and extension of C.D in km 6/00 to 6/062",Please refer Tender documents. ,NA ,"62,74,412",Civil Works,NA ,Tender,120.0,180.0,Dhami,171103.0,NA ,NA ,NA ,SE 4th Circle Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost Of Tender (Indicated In Schedule F),"95,500",No,fixed,,EE Dhami,Dhami,1.0,DD - Demand Draft,AOC
,,,,,2.0,147619.0,PAWAN SHARMA,31-Jan-2020 11:43 AM,Rejected-Technical,Non-Responsive,05-Feb-2020 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. The Earnest Money (Indicated In Schedule F),,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,3.0,147593.0,Pradeep verma,31-Jan-2020 10:28 AM,Rejected-Technical,Non-Responsive,05-Feb-2020 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractors Registration (Refer General Rules No 23),,,,,,,,,AOC
,,,,,4.0,147400.0,PRAHLAD SING NEGI,31-Jan-2020 01:04 PM,Rejected-Finance,L2,19-Sep-2020 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. GST Registration (General Rules No 21),,,,,,,,,AOC
,,,,,5.0,147631.0,RAJESH SHARMA,31-Jan-2020 01:31 PM,Accepted-AOC,L1,19-Sep-2020 12:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,5. Work Done/ Work In Hand As Per General Rule 19,,,,,,,,,AOC
,,,,,6.0,147461.0,Sanjeev Kumar Aggarwal,30-Jan-2020 02:45 PM,Rejected-Finance,L3,19-Sep-2020 12:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"6. List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,AOC
,,,,,7.0,147637.0,VINAY CHAUHAN,31-Jan-2020 04:21 PM,Rejected-Technical,Non-Responsive,05-Feb-2020 04:08 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Form No 8 (Refer General Rules No.26.7),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),,,,,,,,,AOC
