Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
HP SIDC Limited,2020_SIDC_38658_1,Job No. 1,"Construction of Govt. Polytechnic College at Jandour, Tehsil Jaswan, Distt. Kangra (HP).",SE,Internal,"DM, AE(HQ), Dy. Manager(P), EE(HQ)",Sushant Singh Negi,30-Jul-2020 12:52 PM,finsummary_57095.pdf (607.54 KB),1.0,167775.0,Kumar,INR,"164,707,141",10-Sep-2020,"INR 164,707,141",730.0,Sushant Singh Negi,16-Sep-2020 02:04 PM,jandour.pdf (2433.00 KB),Award letter,1.0,168371.0,Ajay Kumar Sood Engineers and Contractors,20-Jul-2020 12:29 PM,Rejected-Finance,Fifth lowest bidder,30-Jul-2020 12:53 PM,Technical,Bid opening summary,Sushant Singh Negi,25-Jul-2020 02:28 PM,technical_57095.pdf,MD,Internal,"DM, AE(HQ), Dy. Manager(P), SE",Sushant Singh Negi,25-Jul-2020 02:36 PM,27-Jul-2020 11:00 AM,techsummary_57095.pdf (688.51 KB),Finance,Financial summary,Sushant Singh Negi,28-Jul-2020 11:48 AM,finance_57095.pdf,BOQ Comparative Chart,AOC,"5,00,000",No,fixed,,EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,"Construction of Govt. Polytechnic College at Jandour, Tehsil Jaswan, Distt. Kangra (HP).","Construction of Govt. Polytechnic College at Jandour, Tehsil Jaswan, Distt. Kangra (HP).",Please refer Tender documents. ,NA ,"14,35,05,743",Civil Works - Buildings,NA ,Tender,120.0,730.0,Jandour (Kangra),176501.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,06-Jul-2020 04:00 PM,21-Jul-2020 11:00 AM,06-Jul-2020 04:00 PM,20-Jul-2020 05:00 PM,NA ,NA ,06-Jul-2020 04:00 PM,20-Jul-2020 05:00 PM,27-Jul-2020 11:00 AM,"5,900",EE HPSIDC Ltd. Shimla,HPSIDC Ltd. Shimla,No,Executive Engineer,HPSIDC Ltd. Shimla,1.0,ICICI BANK,HP SIDC Limited,Job No. 1,2020_SIDC_38658_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Contractor registration (as per tender conditions),AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,166732.0,Dharmender Singh Thakur,18-Jul-2020 01:54 PM,Rejected-Finance,Fourth lowest bidder,30-Jul-2020 12:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,168044.0,H. C. Bansal Engg. & Contt.,20-Jul-2020 04:14 PM,Rejected-Finance,Second lowest bidder,30-Jul-2020 12:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct in all respect.,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,167848.0,Himachal Techno Engineers,20-Jul-2020 04:31 PM,Rejected-Finance,Seventh lowest bidder,30-Jul-2020 12:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,167775.0,Kumar,20-Jul-2020 02:03 PM,Accepted-AOC,lowest bidder,16-Sep-2020 02:05 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,167985.0,M/s Surindera Traders,20-Jul-2020 02:10 PM,Rejected-Finance,Third lowest bidder,30-Jul-2020 12:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC
,,,,,,,,,,,,,,,,,,,,,,7.0,168413.0,RAM NATH AGGARWAL,20-Jul-2020 02:23 PM,Rejected-Finance,Sixth lowest bidder,30-Jul-2020 12:53 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender condition),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of annual financial turn over with breakup.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery/ equipment and skilled engineers/ technical staff,AOC
