Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
07-Sep-2022 11:00 AM,16-Sep-2022 11:00 AM,07-Sep-2022 11:00 AM,15-Sep-2022 05:00 PM,NA ,NA ,07-Sep-2022 11:00 AM,15-Sep-2022 05:00 PM,19-Sep-2022 03:00 PM,Executive Engineer,HPSIDC Shimla,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),1.0,ICICI BANK,"4,400",Nil,Nil,No,Construction of cow Sanctuary at Village Beetan Distt. Una (HP). (SH- Construction of two No. Cow sheds on right side of approach road).,(SH- Construction of two No. Cow sheds on right side of approach road).,Please refer Tender documents. ,NA ,"37,68,905",Civil Works,NA ,Tender,120.0,120.0,Beetan una,176601.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,"64,000",No,fixed,,Nil,Nil,HP SIDC Limited,Job No. 1,2022_SIDC_64543_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,301059.0,Kapil Rana,INR,"5,032,157",14-Oct-2022,"INR 5,032,157",120.0,Sushant Singh Negi,18-Oct-2022 02:49 PM,kapilrana.pdf (1412.00 KB),Award letter,HP SIDC Limited,2022_SIDC_64543_1,Job No. 1,Construction of cow Sanctuary at Village Beetan Distt. Una (HP). (SH- Construction of two No. Cow sheds on right side of approach road).,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,24-Sep-2022 11:27 AM,finsummary_97134.pdf (30.09 KB),Finance,Financial summary,Sushant Singh Negi,24-Sep-2022 11:19 AM,finance_97134.pdf,BOQ Comparative Chart,1.0,301059.0,Kapil Rana,15-Sep-2022 04:03 PM,Accepted-AOC,AOC,18-Oct-2022 02:49 PM,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,19-Sep-2022 01:20 PM,19-Sep-2022 03:00 PM,techsummary_97134.pdf (411.52 KB),Technical,Technical summary,Sushant Singh Negi,19-Sep-2022 01:18 PM,technical_97134.pdf,AOC
,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,301477.0,Satish Kumar,15-Sep-2022 04:55 PM,Rejected-Finance,Third lowest bidder,24-Sep-2022 11:27 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,300478.0,Shallu Malik Govt Contractor,12-Sep-2022 01:56 PM,Rejected-Finance,Second lowest bidder,24-Sep-2022 11:27 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
