S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,"1,08,000",No,fixed,,Nil,Nil,PWD,PWI/CB/Tender/3244-74,2022_PWD_63041_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of R.C.C. Solid Slab bridge,2 Span 10.37 Mtrs each) over Dugh Khad at RD. 0/090 on Badukar Riyali road Portion km. 0/00 to 2/00,Please refer Tender documents. ,NA ,"53,89,303",Civil Works - Bridges,NA ,Tender,180.0,365.0,INDORA,176401.0,NA ,NA ,NA ,O/O EXECUTIVE ENGINEER,No ,No,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),25-Jul-2022 09:00 AM,30-Jul-2022 11:00 AM,25-Jul-2022 09:00 AM,30-Jul-2022 10:00 AM,NA ,NA ,25-Jul-2022 09:00 AM,30-Jul-2022 10:00 AM,05-Aug-2022 03:00 PM,"2,000",Nil,Nil,No,AOC,1.0,293553.0,ARUN KUMAR,30-Jul-2022 07:13 AM,Rejected-AOC,REJECTED,18-Oct-2022 10:47 AM,Technical,ALL ARE RESPONSIVE,Baldev Singh,05-Aug-2022 12:55 PM,technical_95071.pdf,Finance,SR NO. 1 TO 5,Baldev Singh,18-Oct-2022 10:42 AM,finance_95071.pdf,BOQ Comparative Chart,1.0,293609.0,PAVNESH KUMAR,INR,"3,772,574",EE,Internal,AE TO EE AE DAO SUPDT,Baldev Singh,05-Aug-2022 12:56 PM,05-Aug-2022 03:00 PM,techsummary_95071.pdf (328.59 KB),PWD,2022_PWD_63041_1,PWI/CB/Tender/3244-74,Construction of R.C.C. Solid Slab bridge,18-Oct-2022,"INR 5,389,303",100.0,Baldev Singh,18-Oct-2022 10:47 AM,Award.pdf (634.00 KB),AWARDED TO PAVNESH KUMAR,EE,Internal,AE DAO SUPDT TA,Baldev Singh,18-Oct-2022 10:46 AM,finsummary_95071.pdf (194.07 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,,,,,,,,,,AOC,2.0,293090.0,nitish gov cont,27-Jul-2022 12:15 AM,Rejected-AOC,REJECTED,18-Oct-2022 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.4. GST CLEARANCE CERTIFICATE,,,,,,,,,,,,,,AOC,3.0,293609.0,PAVNESH KUMAR,30-Jul-2022 08:16 AM,Accepted-AOC,AWARDED,18-Oct-2022 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,,,,,,,,,,AOC,4.0,293313.0,Rakesh Kumar,29-Jul-2022 04:55 PM,Rejected-AOC,REJECTED,18-Oct-2022 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8.,,,,,,,,,,,,,,AOC,5.0,293354.0,thuru ram,29-Jul-2022 09:22 PM,Rejected-AOC,REJECTED,18-Oct-2022 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,VALID E-MAIL ID AND CONTACT NO,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
