EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
"20,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),Construction of road side drain for new carved plots (RD 0/00 to 116.50) at Ind. Area Pandoga Distt. Una (HP).,Construction of road side drain for new carved plots (RD 0/00 to 116.50) at Ind. Area Pandoga Distt. Una (HP).,Please refer Tender documents. ,NA ,"9,97,879",Civil Works,NA ,Tender,120.0,90.0,Pandoga (Una),177207.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,HP SIDC Limited,Job No. 8,2022_SIDC_63663_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,17-Aug-2022 11:00 AM,25-Aug-2022 11:00 AM,17-Aug-2022 11:00 AM,24-Aug-2022 05:00 PM,NA ,NA ,17-Aug-2022 11:00 AM,24-Aug-2022 05:00 PM,03-Sep-2022 11:00 AM,1.0,ICICI BANK,"1,100",Nil,Nil,No,Executive Engineer,HPSIDC Shimla,AOC,1.0,297099.0,Sushil Kumar,INR,"1,120,086",27-Sep-2022,"INR 1,120,086",90.0,Sushant Singh Negi,17-Oct-2022 12:51 PM,sushilpandoga.pdf (1680.00 KB),Award letter,HP SIDC Limited,2022_SIDC_63663_1,Job No. 8,Construction of road side drain for new carved plots (RD 0/00 to 116.50) at Ind. Area Pandoga Distt. Una (HP).,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,09-Sep-2022 10:52 AM,finsummary_95944.pdf (37.61 KB),Finance,Financial summary,Sushant Singh Negi,09-Sep-2022 10:47 AM,finance_95944.pdf,BOQ Comparative Chart,1,297349,ANOOP VERMA,24-Aug-2022 04:21 PM,Rejected-Finance,Ninth lowest bidder,09-Sep-2022 10:52 AM,SE,Internal,"DM, Manager(F), AE(HQ)",Sushant Singh Negi,02-Sep-2022 03:53 PM,03-Sep-2022 11:00 AM,techsummary_95944.pdf (1371.14 KB),Technical,Tender summary,Sushant Singh Negi,02-Sep-2022 03:50 PM,technical_95944.pdf,AOC
,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,297384,Bhisham Kumar,24-Aug-2022 03:02 PM,Rejected-Finance,Third lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,297228,MONIKA,23-Aug-2022 07:26 PM,Rejected-Finance,Sixth lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,297283,M/S OM PARKASH DHIMAN AND SONS,24-Aug-2022 02:15 PM,Rejected-Technical,Inappropriate Contractor registration class as per tender conditions,02-Sep-2022 03:53 PM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,297111,Mukesh Kumar,23-Aug-2022 06:38 PM,Rejected-Finance,Seventh lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,297245,Saurav Saini Constructions Pvt. Ltd.,23-Aug-2022 09:47 PM,Rejected-Finance,Second lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,297241,subhash chand,23-Aug-2022 09:03 PM,Rejected-Finance,Fourth lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,297099,Sushil Kumar,24-Aug-2022 04:24 PM,Accepted-AOC,AOC,17-Oct-2022 12:53 PM,,,,,,,,,,,,,AOC
,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,296565,unique engg. solutions,24-Aug-2022 03:18 PM,Rejected-Finance,Fifth lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,297096,VIKAS SHARMA,24-Aug-2022 01:05 PM,Rejected-Finance,Eighth lowest bidder,09-Sep-2022 10:52 AM,,,,,,,,,,,,,AOC
