Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
EE,Internal,Senior Assistant Superintendent and Assistant Engineer,Jeet Singh Thakur,06-Dec-2021 05:02 PM,finsummary_78139.pdf (324.17 KB),10-Oct-2022,"INR 339,591",60.0,Jeet Singh Thakur,10-Oct-2022 01:00 PM,111181.pdf (168.00 KB),Repair and maintenance of Non residential building under Chamba Sub Division No. 1 (SH Replacement of roofing over Quarter No. 9 and 6 Quarter block in PWD colony),PWD,2021_PWD_52285_8,NO.PWC-WA-II 7395-495 dated 4.9.21,Repair and maintenance of Non residential building under Chamba Sub Division No. 1 (SH Replacement of roofing over Quarter No. 9 and 6 Quarter block in PWD colony),EEAssistant Engineer Superintendent and Senior Assistant,Internal,,Jeet Singh Thakur,04-Oct-2021 07:43 PM,08-Oct-2021 11:30 AM,techsummary_78139.pdf (201.62 KB),1.0,236698.0,Tahir Malik Allied Services,INR,"459,756",Finance,Bid opening Summary,Jeet Singh Thakur,06-Dec-2021 04:56 PM,finance_78139.pdf,BOQ Comparative Chart,Technical,BOS,Jeet Singh Thakur,04-Oct-2021 07:11 PM,technical_78139.pdf,1.0,237102.0,Darshan Kumar,21-Sep-2021 08:40 PM,Rejected-Finance,2nd lowest,06-Dec-2021 05:02 PM,AOC,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,350.0,Nil,Nil,No,"6,800",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,PWD,NO.PWC-WA-II 7395-495 dated 4.9.21,2021_PWD_52285_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Repair and maintenance of Non residential building under Chamba Sub Division No. 1 (SH Replacement of roofing over Quarter No. 9 and 6 Quarter block in PWD colony),Repair and maintenance of Non residential building under Chamba Sub Division No. 1 (SH Replacement of roofing over Quarter No. 9 and 6 Quarter block in PWD colony),Please refer Tender documents. ,NA ,"3,39,591",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,15-Sep-2021 10:00 AM,23-Sep-2021 11:30 AM,15-Sep-2021 10:00 AM,22-Sep-2021 05:00 PM,NA ,NA ,15-Sep-2021 10:00 AM,22-Sep-2021 05:00 PM,08-Oct-2021 11:30 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236698.0,Tahir Malik Allied Services,20-Sep-2021 10:45 AM,Accepted-AOC,work awarded/completed,10-Oct-2022 01:01 PM,AOC,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,.pdf,Detail of machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
