Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
18-Jul-2022 10:00 AM,26-Jul-2022 11:30 AM,18-Jul-2022 10:00 AM,25-Jul-2022 05:00 PM,NA ,NA ,18-Jul-2022 10:00 AM,25-Jul-2022 05:00 PM,01-Aug-2022 11:30 AM,Restoration of rain damages on Majharnu Kundunu Kufroo road Km. 0/0 to 6/0,Providing and laying wearing grade-II in Km. 0/0 to 1/750 for profile correction).,AS Per SBD ,NA ,"8,57,622",Civil Works - Roads,NA ,Tender,90.0,90.0,Majharnoo,175015.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,"17,200",No,fixed,,Nil,Nil,350.0,Nil,Nil,No,PWD,PW-JND-B and R-EA-I-NIT- 101149-73 dt. 12.07.2022,2022_PWD_62801_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC,1.0,292613.0,Anil Kumar,INR,"880,336",Finance,Financial bid opening summary,Sanjiv Kumar,17-Aug-2022 04:19 PM,finance_94682.pdf,BOQ Comparative Chart,1.0,292613.0,Anil Kumar,24-Jul-2022 02:04 PM,Accepted-AOC,Work awarded to the lowest contractor being a L-1,12-Oct-2022 03:30 PM,Technical,Technical bid opening summary,Rahul Thakur,29-Jul-2022 05:05 PM,technical_94682.pdf,Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Rahul Thakur,29-Jul-2022 05:10 PM,01-Aug-2022 11:30 AM,techsummary_94682.pdf (263.63 KB),PWD,2022_PWD_62801_1,PW-JND-B and R-EA-I-NIT- 101149-73 dt. 12.07.2022,Restoration of rain damages on Majharnu Kundunu Kufroo road Km. 0/0 to 6/0,12-Oct-2022,"INR 880,336",90.0,Sanjiv Kumar,12-Oct-2022 03:28 PM,awardletter.pdf (287.00 KB),Work awarded to the lowest contractor being a L-1,Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,12-Oct-2022 01:34 PM,finsummary_94682.pdf (197.82 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest money (Indicated in Schedule E),,,AOC,,,,,,,,,,,,2.0,292620.0,Vinod Kumar,24-Jul-2022 03:34 PM,Rejected-Finance,Rejected due to L-2,12-Oct-2022 01:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
