Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
30-Sep-2021 10:00 AM,08-Oct-2021 11:00 AM,30-Sep-2021 10:30 AM,07-Oct-2021 05:00 PM,NA ,NA ,30-Sep-2021 10:30 AM,07-Oct-2021 05:00 PM,22-Oct-2021 03:00 PM,Restoration of rain damages in Gander Siara Kudana road Km 0/0 to 9/780,"C/O B/wall at RD 1/060 to 1/085, R/wall at RD 0/230 to 0/233 and 5/765 to 5/769, R/wall in wire crate at RD 7/230 to 7/242 and 9/282 to 9/288 (left side of road)",Please refer Tender documents. ,NA ,"8,30,937",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,Executive Engineer,"Executive Engineer, HP.PWD Division Jaisinghpur",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,"16,700",No,fixed,,Nil,Nil,PWD,Restoration of rain damages in Gander Siara Kudana,2021_PWD_52785_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,AOC,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, Da",R.K Dhiman,22-Oct-2021 11:41 AM,22-Oct-2021 03:00 PM,techsummary_78934.pdf (233.13 KB),PWD,2021_PWD_52785_1,Restoration of rain damages in Gander Siara Kudana,Restoration of rain damages in Gander Siara Kudana road Km 0/0 to 9/780,16-Nov-2021,"INR 830,937",60.0,R.K Dhiman,27-Oct-2022 03:59 PM,Award.pdf (583.00 KB),Award,Executive Engineer,Internal,"Executive Engineer, Supdt G-II, HDM, DA",R.K Dhiman,28-Oct-2021 02:32 PM,finsummary_78934.pdf (192.42 KB),Finance,Summary,R.K Dhiman,28-Oct-2021 02:29 PM,finance_78934.pdf,BOQ Comparative Chart,1.0,239995.0,Sunil Walia,INR,"999,283.39",1.0,239983.0,Ajay Kumar,07-Oct-2021 04:32 PM,Rejected-AOC,Rejected due to higher rates bidder L2,27-Oct-2022 04:01 PM,Technical,Summary,R.K Dhiman,22-Oct-2021 11:38 AM,technical_78934.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,239791.0,arun kumar,07-Oct-2021 10:17 AM,Rejected-AOC,Rejected due to higher rates bidder L3,27-Oct-2022 04:01 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,239995.0,Sunil Walia,07-Oct-2021 03:43 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,27-Oct-2022 04:01 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,239815.0,VINOD KUMAR,06-Oct-2021 03:16 PM,Rejected-Technical,Non Responsive,22-Oct-2021 11:41 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
