Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
17-Oct-2022,"INR 501,708",31.0,Suresh Kumar Dhiman,17-Oct-2022 03:41 PM,Document70.pdf (630.00 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,20-Sep-2022 10:57 AM,finsummary_96835.pdf (165.64 KB),ER S K DHIMAN,Internal,,Suresh Kumar Dhiman,09-Sep-2022 04:54 PM,09-Sep-2022 04:55 PM,techsummary_96835.pdf (587.88 KB),PWD,2022_PWD_64317_1,MDII,S/R of Judiicial Department residence building at Bhiuli Distt.Mandi HP,Finance,Summary,Suresh Kumar Dhiman,20-Sep-2022 10:52 AM,finance_96835.pdf,BOQ Comparative Chart,1.0,299505.0,MAHESH KUMAR,INR,"501,708",Technical,Summary,Suresh Kumar Dhiman,09-Sep-2022 04:52 PM,technical_96835.pdf,1.0,299584.0,KHEM KARAN,07-Sep-2022 12:41 PM,Rejected-Finance,4,20-Sep-2022 10:57 AM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"Cost of tender Form (Indicated in Schedule F), Earnest money","11,600",Yes,fixed,,Nil,Nil,PWD,MDII,2022_PWD_64317_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,01-Sep-2022 09:30 AM,08-Sep-2022 11:30 AM,01-Sep-2022 09:30 AM,07-Sep-2022 05:00 PM,NA ,NA ,01-Sep-2022 09:30 AM,07-Sep-2022 05:00 PM,09-Sep-2022 04:55 PM,EE MANDI DIVISION NO-II HPPWD MANDI,EE MANDI DIVISION NO-II HPPWD MANDI,350.0,Nil,Nil,Yes,S/R of Judiicial Department residence building at Bhiuli Distt.Mandi HP,C/O B/wall and Car parking shed repair work etc,Please refer Tender documents. ,NA ,"5,76,676",Civil Works,NA ,Tender,75.0,31.0,EE MANDI DIVISION NO-II HPPWD MANDI,175001.0,NA ,NA ,NA ,EE MANDI DIVISION NO-II HPPWD MANDI,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,299143.0,LAL MAN,07-Sep-2022 04:41 PM,Rejected-Finance,3,20-Sep-2022 10:57 AM,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,"Contractor Registration(General Rule No.23,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,299505.0,MAHESH KUMAR,07-Sep-2022 11:51 AM,Accepted-AOC,1,17-Oct-2022 03:41 PM,AOC,,,,,.pdf,"Copy of PAN Card ,GST(General Rule No.21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,299627.0,PADAM SINGH,07-Sep-2022 01:10 PM,Rejected-Finance,2,20-Sep-2022 10:57 AM,AOC,,,,,.pdf,Work done certificate for the works completed in last five years (General Rule No.19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,299538.0,Tek Singh,06-Sep-2022 08:52 PM,Rejected-Technical,NON Responsive,09-Sep-2022 04:54 PM,AOC,,,,,.pdf,"Form No. 6/8 duly signed (General Rule No.26.7),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List of machinery, tool, plants and equipment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Affidavit regarding all the Information furnished with the bid are correct,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
