Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
Executive Engineer Electrical,HIMUDA Electrical Division Dharamshala Distt. Kangra H.P.,07-Sep-2022 04:00 PM,14-Sep-2022 11:00 AM,08-Sep-2022 10:00 AM,13-Sep-2022 04:00 PM,08-Sep-2022 10:00 AM ,13-Sep-2022 04:00 PM ,08-Sep-2022 10:00 AM,13-Sep-2022 04:00 PM,20-Sep-2022 04:40 PM,"1,29,680",Yes,fixed,,Nil,Nil,"Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",HIMUDA/EDD/W-7/Vol-XI/922-31,2022_HIMUD_64561_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Civil Hospital Building at Bharmour Distt Chamba,"Sub Head Providing Installation, Testing and Commissioning of 2 Nos. 20 Pessangers Elevator therein",Please refer Tender documents. ,NA ,"64,84,000",Electrical Works,NA ,Tender,120.0,180.0,Bharmour Distt Chamba,176315.0,NA ,NA ,NA ,HIMUDA Electrical Division Dharamshala,No ,No,"2,360",Nil,Nil,Yes,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money and Cost of Tender (As per NIT),AOC,Er Rajni Duggal Executive Engineer,Internal,"Sh Desh Raj Retd. HDM, Sh Vijay Kant Clerk, Miss Reenu Jr. Office Assistant (IT)",Ram Krishan,21-Sep-2022 10:28 AM,finsummary_97168.pdf (662.88 KB),1.0,300423.0,orbis elevator co. ltd.,INR,"6,450,000","Himachal Urban Development Authority||Supdt. Engineer (N),HIMUDA||Executive Engineer Electrical Dn,Dharamsala,HIMUDA",2022_HIMUD_64561_1,HIMUDA/EDD/W-7/Vol-XI/922-31,Construction of Civil Hospital Building at Bharmour Distt Chamba,Finance,Bid Opening Summary,Ram Krishan,21-Sep-2022 10:25 AM,finance_97168.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Ram Krishan,20-Sep-2022 04:32 PM,technical_97168.pdf,11-Oct-2022,"INR 6,450,000",180.0,Ram Krishan,29-Oct-2022 12:28 PM,Award.pdf (2063.00 KB),Award of Contract,Er Rajni Duggal Executive Engineer,Internal,"Sh. Desh Raj Retd. HDM, Sh. Vijay Kant Clerk, Miss Reenu, Jr. Office Assistant",Ram Krishan,20-Sep-2022 04:35 PM,20-Sep-2022 04:40 PM,techsummary_97168.pdf (722.43 KB),1.0,300871.0,EMMENGINEERS,13-Sep-2022 03:32 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,20-Sep-2022 04:32 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Certificate of Registration with HPPWD/HIMUDA/CPWD OR appropriate Class of Contractor enlisted,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300423.0,orbis elevator co. ltd.,13-Sep-2022 10:06 AM,Accepted-AOC,L1 Bidder,29-Oct-2022 12:28 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN/TAN No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration Certificate,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate as per Condition No. 36.2 (a) in the From 6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity as per given formula in the DNIT and Form No. 6, Work in hand detail also attached",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Schedule G as per Condition in the From No. 6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Elevator of make OTIS, KONE, SCHINDLER, MITSUBISHI and ORBIS.",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
