Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Technical,Bid Opening,Narender Pal Abrol,03-Dec-2021 03:55 PM,technical_79333.pdf,Finance,Price bid has been opened,Narender Pal Abrol,01-Jan-2022 11:13 AM,finance_79333.pdf,BOQ Comparative Chart,06-Oct-2022,"INR 9,180,669",180.0,Puneet Chaudhary,06-Oct-2022 01:01 PM,NagetaPOAward.pdf (398.00 KB),Award,1.0,246096.0,ABB INDIA LIMITED,02-Dec-2021 07:48 PM,Rejected-Finance,L-II,06-Oct-2022 12:58 PM,Er. K. K. Bhardwaj,Internal,"SE, Sr. Xen, AO, AE",Narender Pal Abrol,01-Jan-2022 10:54 AM,01-Jan-2022 11:00 AM,techsummary_79333.pdf (191.88 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_53042_1,SSD 490/2021,Procurement of 33 kV GIS Panels,1.0,245461.0,Schneider Electric india pvt Ltd( L&T Electrical and automation),INR,"9,180,669",Er. K. K. Bhardwaj,Internal,"SE, Sr. XEN, AAO, JE",Puneet Chaudhary,06-Oct-2022 12:58 PM,finsummary_79333.pdf (192.16 KB),AOC,HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD 490/2021,2021_HPSEB_53042_1,Yes,Open Tender,Item Rate,Goods,2.0,No,Yes,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,Er. K. K. Bhardwaj,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur-177001",1.0,ICICI BANK,19-Oct-2021 09:00 AM,03-Dec-2021 03:00 PM,19-Oct-2021 09:05 AM,03-Dec-2021 01:00 PM,NA ,NA ,01-Nov-2021 09:00 AM,03-Dec-2021 01:00 PM,01-Jan-2022 11:00 AM,Procurement of 33 kV GIS Panels,"Design, Engineering, Manufacturing, Testing, Delivery at Destination, Supervision of Erection, Testing and Commissioning of 33 kV GIS Indoor Panels for 33/11 kV sub-station in Himachal Pradesh.",As per Detailed Notice Inviting Tender ,NA ,"2,12,00,000",Electrical Work/ Equipment,33 kV GIS Panels ,Tender,240.0,180.0,Paonta Sahib,173025.0,Hamirpur ,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur-177001 ",29-Oct-2021 11:00 AM ,Hamirpur,No ,No,1.0,Extension of due date-III,Date,,"2,12,000",No,percentage,1.0%,Nil,Nil,"10,000",Nil,Nil,Yes,AOC
,,,,,,,,,,,,,,,,,,2.0,245461.0,Schneider Electric india pvt Ltd( L&T Electrical and automation),29-Nov-2021 12:39 PM,Accepted-AOC,Responsive,06-Oct-2022 01:02 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Test Reports,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Amendment,Technical Bid,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,242884.0,Siemens Ltd,29-Nov-2021 11:52 AM,Rejected-Finance,L-III,06-Oct-2022 12:58 PM,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.xls,GTPs and Techno-Commercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying Requirements such as Turnover, Bank Solvency and Bid Capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"Nil Technical and Commercial Deviation certificate, Tender Form and Tender Performa.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Performance Certificate of offered Rating of same/higher voltage class equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,Finance,.xls,Main BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
