Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"5,000",Nil,Nil,No,08-Jul-2022 05:15 PM,16-Jul-2022 11:00 AM,08-Jul-2022 05:15 PM,16-Jul-2022 10:00 AM,NA ,NA ,08-Jul-2022 05:15 PM,16-Jul-2022 10:00 AM,18-Jul-2022 03:50 PM,Executive Engineer,Executive Engineer HPPWD Division Nahan,PWD,NAHAN 3067-96,2022_PWD_62587_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,76,100",No,fixed,,Nil,Nil,"Repair of 2nd, 3rd and 4th Floor of Science Block, currently in the possession of District Ayurvedic Hospital at Nahan, Sirmaur (HP)","P/F Aluminium Work in Doors, Windows and Ventilators, Brick Work, Floor/Wall Tiles, Dismantling, Plaster and Apex Paint, Sanitary Work and C/o Ramp and Miscellaneous Work in 2nd, 3rd and 4th Floor of Science Block",As per Bidding Documents ,NA ,"1,43,59,123",Civil Works - Buildings,NA ,Tender,75.0,180.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD Division Nahan,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,PWD,2022_PWD_62587_1,NAHAN 3067-96,"Repair of 2nd, 3rd and 4th Floor of Science Block, currently in the possession of District Ayurvedic Hospital at Nahan, Sirmaur (HP)",V. K. Aggarwal,Internal,Suptd. DAO HDM,Vijay Kumar Aggarwal,18-Jul-2022 03:46 PM,18-Jul-2022 03:50 PM,techsummary_94373.pdf (893.66 KB),V. K. Aggarwal,Internal,Suptd. HDM DAO,Vijay Kumar Aggarwal,18-Jul-2022 04:37 PM,finsummary_94373.pdf (421.90 KB),14-Oct-2022,"INR 14,359,123",180.0,Vijay Kumar Aggarwal,16-May-2023 01:22 PM,AOC_62587_1.pdf (359.00 KB),Awarded to Sh. Pratap Singh,1.0,291114.0,Pratap Singh,INR,"12,849,582",Finance,Financial Bids were opened on 18.07.2022,Vijay Kumar Aggarwal,18-Jul-2022 04:36 PM,,BOQ Comparative Chart,1.0,290795.0,Lal Singh Chauhan Contractor,15-Jul-2022 12:48 PM,Rejected-Finance,L2,18-Jul-2022,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,16-Jul-2022 02:31 PM,technical_94373.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,291499.0,Mohan Singh,16-Jul-2022 08:41 AM,Rejected-Finance,L3,18-Jul-2022,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,291114.0,Pratap Singh,14-Jul-2022 06:48 PM,Accepted-AOC,L1,16-May-2023,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Work(s)-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Profit and Loss Statements and Annual Turnover Report from Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
