Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
PWD,JOB-1 Ambehara Harot Under Bharwain Divn.,2022_PWD_63367_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,Construction of link road from Ambehra Harot to Mohalla Sunarian Brahmana km 000 to 0780 SH CO 900mm dia RCC Hume pipe culvert at RD 0558 PL GSB MT CC pavement and drain between km 000 to 0585 under MNP,Construction of link road from Ambehra Harot to Mohalla Sunarian Brahmana km 000 to 0780 SH CO 900mm dia RCC Hume pipe culvert at RD 0558 PL GSB MT CC pavement and drain between km 000 to 0585 under MNP,As per tender documents ,NA ,"13,09,996",Civil Works,road ,Tender,75.0,26200.0,Bharwain,177109.0,NA ,NA ,NA ,Bharwain,No ,No,"26,200",No,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Engineer,Division HPPWD Bharwain,02-Aug-2022 06:00 PM,10-Aug-2022 11:30 AM,02-Aug-2022 06:00 PM,08-Aug-2022 05:00 PM,NA ,NA ,02-Aug-2022 06:00 PM,08-Aug-2022 05:00 PM,26-Aug-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,AOC,Finance,Proceeding attached,Harbans Lal Sharma,01-Sep-2022 12:09 PM,finance_95538.pdf,BOQ Comparative Chart,1.0,294819.0,Arjun Singh Govt Contractor,INR,"959,594",1,294807,Ajmer Singh Govt. Contractor,08-Aug-2022 02:16 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,Technical,Proceeding attached,Nitin Chaudhary,25-Aug-2022 05:52 PM,technical_95538.pdf,Er. H.L. Sharma,Internal,Proceeding attached,Nitin Chaudhary,25-Aug-2022 05:54 PM,26-Aug-2022 11:30 AM,techsummary_95538.pdf (2017.26 KB),PWD,2022_PWD_63367_1,JOB-1 Ambehara Harot Under Bharwain Divn.,Construction of link road from Ambehra Harot to Mohalla Sunarian Brahmana km 000 to 0780 SH CO 900mm dia RCC Hume pipe culvert at RD 0558 PL GSB MT CC pavement and drain between km 000 to 0585 under MNP,11-Oct-2022,"INR 1,309,996",26200.0,Harbans Lal Sharma,12-Oct-2022 05:39 PM,AWNo10077-85dt11102022.PDF (289.00 KB),AWNo 10077-85 dated 11-10-2022,Er. H.L. Sharma,Internal,Proceeding attached,Harbans Lal Sharma,01-Sep-2022 12:20 PM,finsummary_95538.pdf (474.25 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,EMD,AOC,,,,,,,,,,,,2,294828,Anil Kumar,08-Aug-2022 03:37 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All conditions shown in NIT,AOC,,,,,,,,,,,,3,294819,Arjun Singh Govt Contractor,08-Aug-2022 04:05 PM,Accepted-AOC,ok,12-Oct-2022 05:40 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,4,294841,EVEREST CONSTRUCTIONS,08-Aug-2022 04:15 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,294831,Kuldeep Kumar,08-Aug-2022 04:53 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,294663,Mukesh Kumar,08-Aug-2022 10:09 AM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,294815,PRABHJOT SINGH GOVT CONTRACTOR,08-Aug-2022 04:30 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,294822,Pushpinder Singh,08-Aug-2022 03:16 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,294070,Rakesh KUmar,08-Aug-2022 04:39 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,294079,Suresh Kumar Govt Contractor,08-Aug-2022 04:22 PM,Rejected-Finance,Reject,01-Sep-2022 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
