Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Bank Name,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,SSD 484/2021,2021_HPSEB_52551_1,Yes,Open Tender,Fixed-rate,Goods,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Tender Documents,21-Sep-2021 03:00 PM,09-Dec-2021 03:00 PM,21-Sep-2021 03:05 PM,09-Dec-2021 01:00 PM,NA ,NA ,09-Oct-2021 09:00 AM,09-Dec-2021 01:00 PM,07-Jan-2022 03:45 PM,Er. K. K. Bhardwaj,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur-177001",1.0,Corrigendum4,Date,,"51,000",No,percentage,1.0%,Nil,Nil,"10,000",Nil,Nil,No,SSD 484/2021,"DESIGN, MANUFACTURE, TESTING AT MANUFACTURER WORKS , DELIVERY AT F.O.R. DESTINATION STATIONS AND SUPERVISION OF ERECTION, TESTING AND COMMISSIONING BATTERY CHARGERS AND DCDBs FOR VARIOUS SUB STATIONS IN HIMACHAL PRADESH",As per Clause No. 7 of NIT ,NA ,"51,00,000",Electrical Work/ Equipment,NA ,Tender,240.0,180.0,BATTERY CHARGERS AND DCDBs,177001.0,Hamirpur ,"Superintending Engineer (Design), Electrical System, HPSEB Ltd., Hamirpur-177001 ",27-Sep-2021 11:00 AM ,Hamirpur,No ,No,1.0,ICICI BANK,AOC,17-Oct-2022,"INR 5,965,136",180.0,Puneet Chaudhary,17-Oct-2022 02:11 PM,POBatteryChargerDCDB484.pdf (5179.00 KB),The work has been awarded to L1 firm,Technical,Tender SSSD-484 has been opened,Narender Pal Abrol,09-Dec-2021 04:15 PM,technical_78559.pdf,Finance,Opened,Narender Pal Abrol,07-Jan-2022 03:50 PM,finance_78559.pdf,BOQ Comparative Chart,1.0,240476.0,MAHA MAI ENGINEERS,01-Nov-2024 06:21 PM,Rejected-Finance,L2,17-Oct-2022 01:51 PM,Er KK Bhardwaj,Internal,"SE, Sr. XEN, AE, AO",Narender Pal Abrol,07-Jan-2022 03:44 PM,07-Jan-2022 03:45 PM,techsummary_78559.pdf (191.59 KB),Er. KK Bhardwaj,Internal,"SE, Sr. XEN, AE, AAO",Puneet Chaudhary,17-Oct-2022 01:51 PM,finsummary_78559.pdf (191.64 KB),HPSEBL||CE(ES) Hamirpur||SE(Design) Hamirpur,2021_HPSEB_52551_1,SSD 484/2021,SSD 484/2021,1.0,245292.0,Naresh Kumar,INR,"5,965,136",AOC
,,,,,,,,,,,,,,,,.pdf,Test Reports,,,,,,,,,,,,2.0,Revised Techno-Commercial Specifications,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,2.0,245292.0,Naresh Kumar,25-Nov-2021 07:22 PM,Accepted-AOC,L1,17-Oct-2022 02:12 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,List of Past Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.xls,GTPs and Technocommercial Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,No Technical and Commercial Deviation certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Abstract of Financial Qualifying requirements such as turnover, bank solvency and bid capacity etc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,"Firm Registration certificate, GST Registration, PAN Card, ITRs and Non Blacklisting certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,Tender Form and Tender Performa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.rar,Any other documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,.pdf,PERFORMANCE CERTIFICATE OF OFFERED RATING OF SAME /HIGHER VOLTAGE CLASS EQUIPMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
