Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,Name,Address,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,TECHNICAL DOCUMENTS AS PER TENDER DOCUMENTS,1.0,DATE EXTENSION,Date,,SUPPLY OF DIETARY ARTICLES GROUP A,SUPPLY OF DIETARY ARTICLES GROUP A,Please refer Tender documents. ,NA ,,Miscellaneous Goods,NA ,Tender,90.0,224.0,TEZPUR,784001.0,NA ,NA ,NA ,"CENTRAL JAIL, TEZPUR",No ,No,28-Jul-2022 09:00 AM,12-Aug-2022 01:00 PM,28-Jul-2022 09:00 AM,11-Aug-2022 01:00 PM,NA ,NA ,29-Jul-2022 09:00 AM,11-Aug-2022 01:00 PM,16-Aug-2022 05:25 PM,Home B||Assam Prison Headquarters||Central Jail-Tezpur,CJT/43/2022/1538,2022_HB_26472_1,Yes,Open Tender,Supply,Goods,2.0,No,No,Online,No,No,No,"1,42,000",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,1.0,SBI Bank,"SUPERINTENDENT CENTRAL JAIL, TEZPUR","SUPERINTENDENT CENTRAL JAIL, TEZPUR, DISTRICT - SONITPUR, ASSAM 784001",AOC,Technical,10 BIDDER PARTICIPATED THE BID,monami huzuri,16-Aug-2022 05:03 PM,technical_40834.pdf,Home B||Assam Prison Headquarters||Central Jail-Tezpur,2022_HB_26472_1,CJT/43/2022/1538,SUPPLY OF DIETARY ARTICLES GROUP A,SUPERINTENDENT CENTRAL JAIL TENDER,Internal,,monami huzuri,16-Aug-2022 05:15 PM,16-Aug-2022 05:25 PM,techsummary_40834.pdf (220.42 KB),1,155652,Aakash Enterprise,09-Aug-2022 12:53 PM,Rejected-Finance,BEING L3,10-Oct-2022 04:47 PM,10-Oct-2022,INR 3762000.0,224.0,SUJIT DAS,10-Oct-2022 04:52 PM,GROUP_A.pdf (146.00 KB),SUPERINTENDENT CENTRAL JAIL TEZPUR,Internal,,SUJIT DAS,10-Oct-2022 04:47 PM,finsummary_40834.pdf (145.82 KB),1.0,155693.0,M/S BHABANI,INR,3762000.0,Finance,FINANCIAL EVALUATION,SUJIT DAS,10-Oct-2022 04:39 PM,finance_40834.pdf,BOQ Comparative Chart,AOC
2.0,Finance,.xls,PRICE BID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,155133,DURGA PRASAD UPADHYA,10-Aug-2022 11:36 AM,Rejected-Finance,BEING L10,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3,155653,LAKSHMI RATAN ENTERPRISE,09-Aug-2022 01:03 PM,Rejected-Finance,BEING L6,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,4,155693,M/S BHABANI,11-Aug-2022 12:30 PM,Accepted-AOC,acce-ted,10-Oct-2022 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,5,155834,M/S P. STORE,10-Aug-2022 10:19 PM,Rejected-Finance,BEING L5,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,6,155692,M/S Shiv Enterprise,11-Aug-2022 12:34 PM,Rejected-Finance,BEING L2,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,7,155422,PADMA ENTERPRISE,09-Aug-2022 04:34 PM,Rejected-Finance,BEING L4,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,8,155494,RANJIT BARUAH,10-Aug-2022 07:48 PM,Rejected-Finance,BEING L9,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,9,155365,SARANGA PANI BORAH,06-Aug-2022 08:51 PM,Rejected-Finance,BEING L8,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,10,155132,UMA PRASAD UPADHYA,10-Aug-2022 11:42 AM,Rejected-Finance,BEING L7,10-Oct-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,AOC
