Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"5,000",Nil,Nil,No,1.0,ICICI BANK,"9,87,650",No,fixed,,Nil,Nil,18-May-2022 05:00 PM,30-May-2022 11:30 AM,18-May-2022 05:00 PM,30-May-2022 10:00 AM,NA ,NA ,18-May-2022 05:00 PM,30-May-2022 10:00 AM,06-Jun-2022 02:00 PM,PWD,PWD- Civil-2037-67-Tanda,2022_PWD_60737_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"Construction of Additional Accommodation for CHC Baroh in District Kangra, (Himachal Pradesh) (SH-Construction of Building portion, Site Development, including Water Supply and Sanitary Installation, Rain Water Harvesting System and Septic Tank etc","Construction of Additional Accommodation for CHC Baroh in District Kangra, (Himachal Pradesh) (SH-Construction of Building portion, Site Development, including Water Supply and Sanitary Installation, Rain Water Harvesting System and Septic Tank etc",Please refer Tender documents. ,NA ,"4,93,80,341",Civil Works - Buildings,NA ,Tender,120.0,365.0,Nagrota Bagwan,176056.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,AOC,Executive Engineer,Internal,AE DAO Supdt HDM,Suresh Kumar Walia,01-Jun-2022 07:04 PM,06-Jun-2022 02:00 PM,techsummary_91757.pdf (1243.83 KB),PWD,2022_PWD_60737_1,PWD- Civil-2037-67-Tanda,"Construction of Additional Accommodation for CHC Baroh in District Kangra, (Himachal Pradesh) (SH-Construction of Building portion, Site Development, including Water Supply and Sanitary Installation, Rain Water Harvesting System and Septic Tank etc",23-Sep-2022,"INR 4,938,034",365.0,Suresh Kumar Walia,06-Oct-2022 01:42 PM,Award.pdf (704.00 KB),Award,Executive Engineer,Internal,AE DAO Supdt HDM,Ankit Kumar,15-Jun-2022 12:34 PM,finsummary_91757.pdf (18.03 KB),1.0,283913.0,M/s Kulwinder Singh and Co.,INR,"44,211,491",Finance,sum,Ankit Kumar,15-Jun-2022 12:32 PM,finance_91757.pdf,BOQ Comparative Chart,1.0,283645.0,Ashwani Kumar,28-May-2022 03:30 PM,Rejected-Technical,Not Fulfill Criteria,01-Jun-2022 07:04 PM,Technical,sum,Suresh Kumar Walia,01-Jun-2022 07:01 PM,technical_91757.pdf,AOC
,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283913.0,M/s Kulwinder Singh and Co.,28-May-2022 03:19 PM,Accepted-AOC,Award,06-Oct-2022 01:43 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,283569.0,M/s Talwinder Singh and Company,28-May-2022 04:26 PM,Rejected-Finance,Lowest 2,15-Jun-2022 12:34 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,283213.0,Ujjawal Singh,28-May-2022 02:10 PM,Rejected-Technical,Not Fulfill Criteria,01-Jun-2022 07:04 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No.,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity a/w Balance sheets for the last 5 year duly signed by C.A,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand detail,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
