Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
12-Oct-2022,"INR 292,226,028",891.0,Arvind Kumar,17-Oct-2022 03:07 PM,AOC.pdf (451.00 KB),AOC for Construction of District Hospital building at Kather Chambaghat,Er Arvind sharma EE B and R Solan,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Sumit Tanwar Supdt Grade II PMGSY Shri Hemender Sharma HDM and Shri Rajkumar Tender Assistant,Arvind Kumar,05-Jul-2022 03:50 PM,finsummary_93174.pdf (31.07 KB),Er Arvind Sharma EE B and R Solan,Internal,Shri Satish Sharma Senior Divisional Accounts Officer Shri Sumit Tanwar Supdt Grade II PMGSY Shri Hemender Sharma HDM and Shri Rajkumar Tender Assistant,Arvind Kumar,01-Jul-2022 05:17 PM,05-Jul-2022 11:00 AM,techsummary_93174.pdf (212.74 KB),PWD,2022_PWD_61753_1,2765-73 dated 24.05.2022 C/o Civil Hospital Kather,Construction of District Hospital building at Kather Chambaghat,Technical,Technical bid opening summary,Arvind Kumar,22-Jun-2022 12:23 PM,technical_93174.pdf,1.0,287778.0,KDN Infrastructure Pvt. Ltd.,21-Jun-2022 10:40 PM,Rejected-Finance,L2,05-Jul-2022 03:50 PM,1.0,287776.0,UNIPRO,INR,"292,226,028",Finance,Financial bid opening summary,Arvind Kumar,05-Jul-2022 03:46 PM,finance_93174.pdf,BOQ Comparative Chart,AOC,"44,58,000",No,fixed,,Nil,Nil,Construction of District Hospital building at Kather Chambaghat,SH Civil work WS and SI site development approach road parking boundary wall with gate rain harvesting tank and septic tank Phase i,Please refer Tender documents. ,NA ,"34,58,31,092",Civil Works,NA ,Tender,90.0,910.0,Solan,173212.0,NA ,NA ,NA ,Solan,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender and earnest money indicate in Schedule F General Rule NO24.1,PWD,2765-73 dated 24.05.2022 C/o Civil Hospital Kather,2022_PWD_61753_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,Executive Engineer B and R Division HPPWD Solan,Near new Bus Stand Bye pass road Solan,16-Jun-2022 10:55 AM,22-Jun-2022 11:00 AM,16-Jun-2022 10:55 AM,22-Jun-2022 10:30 AM,NA ,NA ,16-Jun-2022 10:55 AM,22-Jun-2022 10:30 AM,05-Jul-2022 11:00 AM,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,287500.0,rajesh kumar suman,21-Jun-2022 02:04 PM,Rejected-Finance,L3,05-Jul-2022 03:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration reffer general rules and directions No 24.3 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,287776.0,UNIPRO,21-Jun-2022 06:28 PM,Accepted-AOC,L-1,17-Oct-2022 03:07 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration refer general rules and Directions no 24.4 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,287745.0,Vasu Constructions Co.,21-Jun-2022 10:28 PM,Rejected-Finance,L4,05-Jul-2022 03:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done certifidcate and work in hand certificate refer in general rules No 24.5 schedule F Note w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,287835.0,Vidya Infrastructure and Developers,22-Jun-2022 08:43 AM,Rejected-Finance,L5,05-Jul-2022 03:50 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool plant shown in schedule F with reference to clause 24.6 of SBD affidavit fur",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavits of correctness of all the documents are submitted is true by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Others documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor should have to submit the proof of EPF as mentioned in SBD Clause 22 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done condition one similar nature of work not less than 40 percent of the estimated cost as pe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Fill Form NO 8 of SBD as per Directions and Rules No 24.8 and upload pdf documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
