Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,as per uploaded document,Dalip singh Patial,27-Dec-2021 01:07 PM,technical_80961.pdf,1.0,247928.0,Krishan Pal,06-Dec-2021 11:26 AM,Rejected-AOC,L2,31-Oct-2022 01:22 PM,1.0,247990.0,Sourab Kuthiala,INR,"643,200",Finance,as Per uploaded document,Dalip singh Patial,05-Feb-2022 08:09 PM,finance_80961.pdf,BOQ Comparative Chart,Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,05-Feb-2022 10:04 PM,finsummary_80961.pdf (178.05 KB),31-Oct-2022,"INR 645,120",240.0,Dalip singh Patial,31-Oct-2022 01:21 PM,aoc1949-54.pdf (717.00 KB),awarded to the lowest bidder,PWD,2021_PWD_54045_1,Elect. Division HPPWD Palampur,Running Operation of EI to various Govt. N/R buildings in Dr.RPGMC Kangra at Tanda (SH- Engagement of EI Maintenance staff i.e. T-Mates (Electrical) in Super Specialty Block of Dr. RPGMC Kangra at Tanda for eight Months thereof),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Kumar Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,27-Dec-2021 01:12 PM,27-Dec-2021 02:00 PM,techsummary_80961.pdf (255.55 KB),AOC,Executive Engineer,Elect. Division HPPWD Palampur,27-Nov-2021 05:00 PM,07-Dec-2021 11:30 AM,27-Nov-2021 05:00 PM,07-Dec-2021 11:00 AM,NA ,NA ,27-Nov-2021 05:00 PM,07-Dec-2021 11:00 AM,27-Dec-2021 02:00 PM,PWD,Elect. Division HPPWD Palampur,2021_PWD_54045_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited (EMD),350.0,Nil,Nil,No,"13,000",No,fixed,,Nil,Nil,Running Operation of EI to various Govt. N/R buildings in Dr.RPGMC Kangra at Tanda (SH- Engagement of EI Maintenance staff i.e. T-Mates (Electrical) in Super Specialty Block of Dr. RPGMC Kangra at Tanda for eight Months thereof),Running Operation of EI to various Govt. N/R buildings in Dr.RPGMC Kangra at Tanda (SH- Engagement of EI Maintenance staff i.e. T-Mates (Electrical) in Super Specialty Block of Dr. RPGMC Kangra at Tanda for eight Months thereof),Please refer Tender documents. ,NA ,"6,45,120",Electrical Works,NA ,Tender,120.0,240.0,Kangra at Tanda in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,AOC
,,,,,2.0,247980.0,M/s Jamwal nxt gen energy solutions,06-Dec-2021 12:35 PM,Rejected-Technical,Technically Not Qualified,27-Dec-2021 01:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,247990.0,Sourab Kuthiala,06-Dec-2021 12:46 PM,Accepted-AOC,L1,31-Oct-2022 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (minimum one similar work not less than 40 percent of the estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
