Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,Bid Opening Summary,Abhijit Das,09-Jun-2022 04:53 PM,technical_38755.pdf,"MD, APDCL",Internal,,Abhijit Das,02-Aug-2022 06:13 PM,finsummary_38755.pdf (228.86 KB),06-Sep-2022,INR 7.07292E+7,1460.0,Udayan Dutta,05-Oct-2022 09:53 PM,Notification_of_Award.pdf (240.00 KB),Notification of Award,"MD, APDCL",Internal,,Asif Nasir,21-Jul-2022 02:21 PM,21-Jul-2022 04:00 PM,techsummary_38755.pdf (544.70 KB),1.0,149576.0,PricewaterhouseCoopers Private Limited,INR,70729200.0,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,2022_APDCL_25088_1,APDCL/CGM(PPD)/RDSS/Smart Meter PMA/2022/1,Consultancy Services for assisting and supporting in Project Management for Smart Metering works to APDCL under RDSS,1.0,149687.0,DELOITTE TOUCHE TOHMATSU INDIA LLP,06-Jun-2022 07:41 PM,Rejected-Finance,Not most advantageous proposal,02-Aug-2022 06:13 PM,Finance,Summary,Abhijit Das,02-Aug-2022 06:05 PM,finance_38755.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.rar,Documents against Pre-qualification criteria,"20,000",Nil,Nil,Yes,11-Apr-2022 04:00 PM,09-Jun-2022 02:00 PM,11-Apr-2022 04:00 PM,07-Jun-2022 02:00 PM,NA ,NA ,17-May-2022 02:00 PM,07-Jun-2022 02:00 PM,21-Jul-2022 04:00 PM,Consultancy Services for assisting and supporting in Project Management for Smart Metering works to APDCL under RDSS,Consultancy Services for assisting and supporting in Project Management for Smart Metering works to APDCL under RDSS,Please refer Tender documents. ,NA ,,Consultancy,NA ,Tender,120.0,1460.0,across APDCL,781001.0,Online mode ,The link for the online pre bid meeting to shared with due course of time ,19-Apr-2022 11:00 AM ,Office of the CGM PPnD APDCL,No ,No,"25,00,000",Yes,fixed,,Nil,Nil,1.0,Financial Bid format FIN 3,BOQ,,1.0,SBI Bank,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,APDCL/CGM(PPD)/RDSS/Smart Meter PMA/2022/1,2022_APDCL_25088_1,Yes,Open Tender,Works,Services,2.0,No,No,Online,No,No,No,Chief General Manager PPnD APDCL,Office of the CGM PPnD 6th floor Bijulee Bhawan Paltanbazar Guwahati 781001,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,149796.0,Ernst & Young LLP,07-Jun-2022 01:43 PM,Rejected-Finance,Not most advantageous proposal,02-Aug-2022 06:13 PM,,,,,,,AOC,,,.rar,TECH 1 Technical Proposal submission form with annexures as per RFP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Extension Notice,Date,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,148108.0,KPMG Assurance and Consulting Services LLP,07-Jun-2022 01:36 PM,Rejected-Finance,Not most advantageous proposal,02-Aug-2022 06:13 PM,,,,,,,AOC,,,.rar,TECH 2 Consultants Organisation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Pre bid meeting link,Other,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,149576.0,PricewaterhouseCoopers Private Limited,07-Jun-2022 12:42 PM,Accepted-AOC,Awarded to the most advantageous bidder,05-Oct-2022 09:55 PM,,,,,,,AOC,,,.rar,TECH 3 Consultants status of qualification requirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Revised RFP document,Technical Bid,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.rar,TECH 4 Consultants Experience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.rar,TECH 5 Team Composition and CVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.rar,Any other relevant documents to substantiate eligibility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.pdf,FIN 1 Financial Proposal Submission Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,FIN 2 Summary of Costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,Breakdown of Remuneration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
