S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
1.0,306879.0,Himalaya Enterprises,07-Oct-2022 07:59 AM,Rejected-Finance,Rejected,10-Oct-2022 02:58 PM,ER Ashish Rana EE,Internal,Ta Supdt HDM DAO EE,Ashish Rana,10-Oct-2022 02:13 PM,10-Oct-2022 02:20 PM,techsummary_98963.pdf (317.26 KB),11-Oct-2022,"INR 529,000",90.0,Ashish Rana,29-Oct-2022 12:32 PM,AOC.pdf (662.00 KB),Award to Contractor,Technical,Technical Summary,Ashish Rana,10-Oct-2022 02:07 PM,technical_98963.pdf,Finance,Financial Summary,Ashish Rana,10-Oct-2022 02:48 PM,finance_98963.pdf,BOQ Comparative Chart,1.0,306858.0,puneet angra,INR,"859,500","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_65770_1,NHN-SMROO-722- 11935-12005 dt 28/09/2022,"Restoration of rain damages to LWSS Banethi, Chakali, Rahore and group of villages in Tehsil Nahan distt. Sirmour HP",ER Ashish Rana EE,Internal,DM HDM EE,Ashish Rana,10-Oct-2022 02:58 PM,finsummary_98963.pdf (344.19 KB),AOC,250.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,29-Sep-2022 06:00 PM,07-Oct-2022 11:30 AM,29-Sep-2022 06:00 PM,07-Oct-2022 11:00 AM,NA ,NA ,01-Oct-2022 05:00 PM,07-Oct-2022 11:00 AM,10-Oct-2022 02:20 PM,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 11935-12005 dt 28/09/2022,2022_HPIPH_65770_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"10,580",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,"Restoration of rain damages to LWSS Banethi, Chakali, Rahore and group of villages in Tehsil Nahan distt. Sirmour HP",Replacement of centrifugal pumping machinery 75 HP stage 1st,Please refer Tender documents. ,NA ,,Pumps/Motors,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,AOC
2.0,306583.0,HYDRAULIC ENGINEERING COMPANY,06-Oct-2022 05:14 PM,Rejected-Finance,Rejected,10-Oct-2022 02:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,306858.0,puneet angra,06-Oct-2022 11:20 PM,Accepted-AOC,AOC,29-Oct-2022 12:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,306740.0,Surjeet Singh Thakur,06-Oct-2022 05:08 PM,Rejected-Finance,Rejected,10-Oct-2022 02:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,PAN and GST as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Undertaking joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Dealership/sub dealership of offered Pumping machinery and a scan copy be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,undertaking of the curve charts along with selection of pumps and motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
