Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,BOS,Rajesh Thakur,12-Oct-2022 12:51 PM,technical_98965.pdf,EE,Internal,AGM SJPNL AO,Rajesh Thakur,28-Oct-2022 10:46 AM,finsummary_98965.pdf (314.77 KB),1,306722,Baldev Kalsaik,06-Oct-2022 04:30 PM,Rejected-Technical,Rejected,12-Oct-2022 04:11 PM,28-Oct-2022,"INR 679,629.11",60.0,Rajesh Thakur,28-Oct-2022 10:47 AM,2022_MC_65772_1.pdf (462.00 KB),AOC,Finance,BOS,Rajesh Thakur,12-Oct-2022 04:23 PM,finance_98965.pdf,BOQ Comparative Chart,EE,Internal,AGM SJPNL AO,Rajesh Thakur,12-Oct-2022 04:11 PM,12-Oct-2022 04:15 PM,techsummary_98965.pdf (529.69 KB),Municipal Corporation Shimla,2022_MC_65772_1,4605Dated24092022,Restoration of rain damages on road from Bye-pass to Chalaunthi RD 0 0 to 0 300 (SH Construction of Retaining wall between 0 030 to 0 060) in ward No 19,1.0,306652.0,KHAJAN SINGH,INR,"679,629",AOC,"19,500",No,fixed,,Executive Engineer R B M C Shimla,Shimla,Municipal Corporation Shimla,4605Dated24092022,2022_MC_65772_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,350.0,Executive Engineer R B M C Shimla,Shimla,No,1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,Cost of form in shape of DD and Earnest money in shape of FDR as per E procurement notice,29-Sep-2022 06:00 PM,07-Oct-2022 02:00 PM,29-Sep-2022 06:00 PM,06-Oct-2022 05:00 PM,NA ,NA ,29-Sep-2022 06:00 PM,06-Oct-2022 05:00 PM,12-Oct-2022 04:15 PM,Restoration of rain damages on road from Bye-pass to Chalaunthi RD 0 0 to 0 300 (SH Construction of Retaining wall between 0 030 to 0 060) in ward No 19,Restoration of rain damages on road from Bye-pass to Chalaunthi RD 0 0 to 0 300 (SH Construction of Retaining wall between 0 030 to 0 060) in ward No 19,Please refer Tender Documents ,NA ,"9,70,900",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,AOC
,,,,,,,,,,,2,306730,Devinder Thakur,06-Oct-2022 04:57 PM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3,306695,Kaku Ram,06-Oct-2022 03:55 PM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,4,306652,KHAJAN SINGH,06-Oct-2022 03:00 PM,Accepted-AOC,Accepted due to lowest rates,28-Oct-2022 10:47 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned Copy of tender documents i.e. NIT (E-procurement notice) Performa and Form MW-7 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,5,306532,Kuldeep Sharma,06-Oct-2022 12:19 PM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Affidavit duly signed with reference to condition No. 10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,6,306329,Lokesh Bali,05-Oct-2022 06:29 PM,Rejected-Technical,Rejected,12-Oct-2022 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Letter Head with reference to condition No. 10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,7,306314,Sandeep,05-Oct-2022 05:56 PM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,8,306640,SANJEEV KUMAR,06-Oct-2022 02:54 PM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,9,306513,SANTOSH KUMAR,06-Oct-2022 12:04 PM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,10,306187,suresh jagta,06-Oct-2022 10:51 AM,Rejected-Finance,Rejected,28-Oct-2022 10:46 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,11,306320,vinod kumar,05-Oct-2022 06:13 PM,Rejected-Technical,Rejected,12-Oct-2022 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
