Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,Fee,.pdf,Proof of Tender Fee,HPSEBL,CE(MM)-03/2022,2022_HPSEB_59311_1,Yes,Open Tender,Item Wise,Goods,3.0,No,Yes,Online,No,No,No,"16,29,250",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"1,475",Nil,Nil,No,"Chief Engineer (MM), Shimla - 04","Office of Chief Engineer (MM), Vidyut Bhawan Shimla - 04",Procurement of DTRs of various ratings,Procurement of DTRs of various ratings,As per NIT ,EMD for gerneral bidder is Rs.1629250 and for registered HP local units is Rs. 1379250 ,"16,29,25,000",Electrical Work/ Equipment,NA ,Tender,120.0,180.0,"Chief Engineer (MM), Shimla - 04",171004.0,NA ,NA ,NA ,"Office of Chief Engineer (MM), Vidyut Bhawan Shiml",No ,No,08-Apr-2022 10:00 AM,22-Jun-2022 11:30 AM,08-Apr-2022 10:00 AM,21-Jun-2022 12:00 PM,NA ,NA ,11-Apr-2022 10:00 AM,21-Jun-2022 12:00 PM,18-Jul-2022 11:30 AM,1.0,Corrigendum No.5 for DTR,Date,,AOC,Sr. Executive Engineer II,Internal,Assistant Executive Engineer Account Officer,Vimal Kumar,04-Oct-2022 01:31 PM,finsummary_89786.pdf (477.32 KB),HPSEBL,2022_HPSEB_59311_1,CE(MM)-03/2022,Procurement of DTRs of various ratings,1.0,278141.0,JAY BEE INDUSTRIES,INR,"112,613,598",Finance,Price Bid Summary,Suraj Pandey,18-Jul-2022 01:15 PM,finance_89786.pdf,BOQ Comparative Chart,Technical,Techno-commercial Bid Opening Summary,Suraj Pandey,22-Jun-2022 12:55 PM,technical_89786.pdf,04-Oct-2022,"INR 203,159,085.51",180.0,Vimal Kumar,04-Oct-2022 01:34 PM,AwardSummary032022.pdf (477.00 KB),Three number purchase orders were placed to L-I qualified bidders on 28.09.2022,Sr. Executive Engineer II,Internal,AEE,Suraj Pandey,16-Jul-2022 04:45 PM,18-Jul-2022 11:30 AM,techsummary_89786.pdf (420.47 KB),1.0,278141.0,JAY BEE INDUSTRIES,04-Jun-2022 04:04 PM,Accepted-AOC,After negotiations 5 nos. rating of DTRs have been awarded to the bidder,04-Oct-2022 01:40 PM,AOC
,,.pdf,Proof of EMD,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,2.0,278864.0,N R INDUSTRIES,INR,"1,508,040",,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278864.0,N R INDUSTRIES,18-Jun-2022 02:05 PM,Accepted-AOC,1 No. DTR rating has been awarded to the bidder as per HP based new entrant clause of NIT,04-Oct-2022 01:40 PM,AOC
2.0,PreQual/Technical,.pdf,"Renewed BIS certificate, Renewed ISO certificate and BEE star rating certification",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,3.0,284827.0,Svasca Industries (India) Ltd.,INR,"89,037,447.56",,,,,,,,,,,,,,,,,,,,,,,,,,3.0,277817.0,Nucon Switchgears Private Limited,21-Jun-2022 10:14 AM,Rejected-AOC,The Bidder has not quoted L-I rates for any rating of DTRs,04-Oct-2022 01:40 PM,AOC
,,.pdf,"GTPs, Drawings and type test reports of offered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,284827.0,Svasca Industries (India) Ltd.,07-Jun-2022 10:32 AM,Accepted-AOC,After negotiations 6 nos. rating of DTRs have been awarded to the bidder,04-Oct-2022 01:40 PM,AOC
,,.pdf,Purchase order/supply orders and performance certificate thereof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Capacity assessment and list of machinery,testing Equip,acceptance,routine tests to be carried out",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of arbitration/court cases and blacklisted/debarred by any Govt./Semi Govt. organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Balance sheet of last three years and Average annual turnover duly certified by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Power of attorney/Board of resolution to sign the bid doc and acceptance of terms and conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Reg. certificate with Ind. Deptt, Duly signed tender documents and and any other requisite doc. as p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
