Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,PW-SRDD-CB-CTR-2022-5778-827 dt. 27-05-2022,2022_PWD_61587_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,Shimla Rural Division HPPWD Dhami,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),09-Jun-2022 02:10 PM,17-Jun-2022 11:00 AM,09-Jun-2022 02:10 PM,16-Jun-2022 06:00 PM,NA ,NA ,09-Jun-2022 02:10 PM,16-Jun-2022 06:00 PM,28-Jun-2022 04:50 PM,"20,000",No,fixed,,Nil,Nil,A/R and M/O on Rugra Gwahi Rangol Shalaghat Road Km. 0/00 to 14/00,SH- Repair of Pot Hole RDs 9/00 to 14/00 ) Balance Job No.-III.,as per tender documents ,NA ,"9,99,603",Civil Works - Roads,NA ,Tender,75.0,30.0,Dhami,171103.0,NA ,NA ,NA ,Shimla Rural Division HPPWD Dhami,No ,No,500.0,Nil,Nil,No,AOC,1.0,286212.0,SATISH KUMAR,INR,"1,028,531",Finance,Bid opening summary,Naveen Singh Kaundal,10-Aug-2022 05:13 PM,finance_92939.pdf,BOQ Comparative Chart,1.0,287020.0,Chaman Prakash Sharma,15-Jun-2022 11:00 PM,Rejected-Finance,L2 Bidder,10-Aug-2022 05:16 PM,Technical,Bid opening summary,Parveen Kumar Verma,28-Jun-2022 04:39 PM,technical_92939.pdf,PWD,2022_PWD_61587_4,PW-SRDD-CB-CTR-2022-5778-827 dt. 27-05-2022,A/R and M/O on Rugra Gwahi Rangol Shalaghat Road Km. 0/00 to 14/00,Er. Suresh Kumar Chandel,Internal,Sh Rajesh Chauhan DAO Sh Ram Sawaroop Supdt Sh Amar Nath Arrora HDM,Parveen Kumar Verma,28-Jun-2022 04:48 PM,28-Jun-2022 04:50 PM,techsummary_92939.pdf (164.13 KB),Er Suresh Kumar Chandel,Internal,"Sh Rajesh Chauhan DAO, Sh Ghanshyam Sharma Supdt., Sh Amar Nath Arrora HDM",Naveen Singh Kaundal,10-Aug-2022 05:16 PM,finsummary_92939.pdf (366.41 KB),03-Oct-2022,"INR 999,603",30.0,Naveen Singh Kaundal,03-Oct-2022 04:26 PM,AOCRugra-Gawahi-III.pdf (1383.00 KB),AOC,AOC
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.pdf,The Earnest Money (Indicated In Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,286830.0,NOKH RAM SHARMA,14-Jun-2022 04:54 PM,Rejected-Technical,Non Responsive,28-Jun-2022 04:48 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,286212.0,SATISH KUMAR,12-Jun-2022 08:25 PM,Accepted-AOC,L1 Bidder,03-Oct-2022 04:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 24.4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Work In Hand as Per General Rule 24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.24.8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect as General Rule No 1.2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 22 A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
