Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
PWD,Job 1 Construction of Rampur Gas Agency Godown to,2022_PWD_61115_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"50,500",No,fixed,,Nil,Nil,03-Jun-2022 10:00 AM,09-Jun-2022 11:00 AM,03-Jun-2022 10:30 AM,09-Jun-2022 09:00 AM,NA ,NA ,03-Jun-2022 10:30 AM,09-Jun-2022 09:00 AM,16-Jun-2022 10:00 AM,Job 1 Construction of Rampur Gas Agency Godown to Una bridge near IPH Rest house via TCP office and Village Kuthar Khurd to Kuthar Kalan road km. 0-0 to 7-215. Sub Head C.O U shape drain on link road to Village Kuthar khurd Kuthar Kalan from Una San,Job 1 Construction of Rampur Gas Agency Godown to Una bridge near IPH Rest house via TCP office and Village Kuthar Khurd to Kuthar Kalan road km. 0-0 to 7-215. Sub Head C.O U shape drain on link road to Village Kuthar khurd Kuthar Kalan from Una San,Please refer to Bidding Documents ,NA ,"28,61,343",Civil Works - Roads,NA ,Tender,75.0,60.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"1,500",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,285807.0,Nitish Thakur,INR,"2,128,685",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,27-Jun-2022 11:09 AM,finance_92250.pdf,BOQ Comparative Chart,1.0,285888.0,aman kumar,08-Jun-2022 11:38 AM,Rejected-Finance,Not L-1,27-Jun-2022,Technical,TechnicalBidOpeningSummary,Rajesh Kumar,13-Jun-2022 07:01 PM,technical_92250.pdf,"Er. Rajesh Kumar, EE",Internal,"Er. Kuldeep Singh AE to EE , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II, Jagdeep Singh, Draughtsman",Rajesh Kumar,13-Jun-2022 07:22 PM,16-Jun-2022 10:00 AM,techsummary_92250.pdf (631.79 KB),PWD,2022_PWD_61115_1,Job 1 Construction of Rampur Gas Agency Godown to,Job 1 Construction of Rampur Gas Agency Godown to Una bridge near IPH Rest house via TCP office and Village Kuthar Khurd to Kuthar Kalan road km. 0-0 to 7-215. Sub Head C.O U shape drain on link road to Village Kuthar khurd Kuthar Kalan from Una San,10-Oct-2022,"INR 2,861,343",60.0,Baldev Singh,27-Sep-2023 06:45 PM,Awardletteer.pdf (952.00 KB),Awardletter,"Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Harish Chander Sharma Head Draughtsman, Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,27-Jun-2022 12:07 PM,finsummary_92250.pdf (530.16 KB)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,2.0,285807.0,Nitish Thakur,07-Jun-2022 08:36 PM,Accepted-AOC,ok,27-Sep-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,3.0,285882.0,VASHISHT CONTRACTOR,08-Jun-2022 11:23 AM,Rejected-Finance,Not L-1,27-Jun-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No. and NOC from concerned department,,,,,,,,,,,,,,4.0,285876.0,Vikas puri,09-Jun-2022 07:33 AM,Rejected-Finance,Not L-1,27-Jun-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and NOC from concerned department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work in hand certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
