Name,Address,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Executive Engineer,O/O Executive Engineer HPPWD Division Sunder Nagar,1.0,ICICI BANK,Construction of Jawahar Lal Nehru Govt Engineering College at Sundernagar,Providing and laying roofing work for sun shades at JNGEC Block B and C,As per bid document ,NA ,"26,96,010",Civil Works,NA ,Tender,75.0,180.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,"1,500",EE Sundernagar,Sundernagar,No,"54,000",Yes,fixed,,EE Sundernagar,Sundernagar,08-Aug-2022 09:00 AM,16-Aug-2022 11:30 AM,08-Aug-2022 09:00 AM,15-Aug-2022 06:00 PM,NA ,NA ,08-Aug-2022 09:00 AM,15-Aug-2022 06:00 PM,24-Aug-2022 11:00 AM,PWD,PW-SNR-CB-E-Ten/Giriraj- 8743-53 dt.4.8.22,2022_PWD_63442_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC,Er. D.R. Chauhan Executive Engineer,Internal,Er. Y S Chandel AE Suket Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Rattan Lal Supdt. Accounts.,Chaman Singh,22-Aug-2022 04:12 PM,24-Aug-2022 11:00 AM,techsummary_95640.pdf (620.69 KB),PWD,2022_PWD_63442_1,PW-SNR-CB-E-Ten/Giriraj- 8743-53 dt.4.8.22,Construction of Jawahar Lal Nehru Govt Engineering College at Sundernagar,27-Oct-2022,"INR 2,554,469",180.0,Chaman Singh,27-Oct-2022 01:20 PM,AOCSunshade.pdf (815.00 KB),AOC issued to L-1.,Er. D.R. Chauhan Executive Engineer,Internal,Er. Y.S. Chandel AE Sh. Sushil Kumar DAO Gr-I Sh. Rattan Lal Supdt Accounts Sh. Dinesh Kumar HDM,Chaman Singh,27-Oct-2022 01:16 PM,finsummary_95640.pdf (815.31 KB),1.0,295712.0,DEVENDER SINGH,15-Aug-2022 03:56 PM,Rejected-Finance,Not found lowest,27-Oct-2022 01:16 PM,Technical,BOS,Chaman Singh,17-Aug-2022 01:00 PM,technical_95640.pdf,Finance,FBOS,Hitesh Sharma,24-Aug-2022 03:06 PM,finance_95640.pdf,BOQ Comparative Chart,1.0,295717.0,TEK CHAND,INR,"2,554,469",AOC
,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,295589.0,Roshan lal,13-Aug-2022 03:30 PM,Rejected-Technical,Being non responsive,22-Aug-2022 04:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,295717.0,TEK CHAND,15-Aug-2022 04:27 PM,Accepted-AOC,Being lowest,27-Oct-2022 01:21 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,295622.0,VIRENDER KUMAR,15-Aug-2022 04:12 PM,Rejected-Technical,Being non responsive,22-Aug-2022 04:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done / Work in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 refer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other important documents as specified in proforma of Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of EPF Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
