Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Construction of link road Barana Mariyari Chowki Nehar Palachaklu road Km 0/000 to 8/300 in Distt Kangra (HP) (SH-Balance work of 12.00 mtrs span Bridge over Nehar Khad).,Construction of link road Barana Mariyari Chowki Nehar Palachaklu road Km 0/000 to 8/300 in Distt Kangra (HP) (SH-Balance work of 12.00 mtrs span Bridge over Nehar Khad).,Please refer Tender documents. ,NA ,"22,50,084",Civil Works - Bridges,NA ,Tender,120.0,120.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,HP PWD Division Tanda at Nagrota Bagwan,No ,No,PWD,PWD- Civil-30.1-Tanda,2022_PWD_63226_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,500.0,Nil,Nil,No,Executive Engineer,HP PWD Division Tanda at Nagrota Bagwan,"45,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,30-Jul-2022 05:00 PM,12-Aug-2022 11:00 AM,30-Jul-2022 05:00 PM,12-Aug-2022 09:00 AM,NA ,NA ,30-Jul-2022 05:00 PM,12-Aug-2022 09:00 AM,18-Aug-2022 01:50 PM,AOC,1.0,294149.0,tek chand,INR,"2,100,004",Finance,sum,Ankit Kumar,30-Aug-2022 11:00 AM,finance_95287.pdf,BOQ Comparative Chart,1.0,294151.0,SURINDER KUMAR,11-Aug-2022 12:04 PM,Rejected-Finance,Lowest 2,30-Aug-2022 11:01 AM,Technical,SUM,Suresh Kumar Walia,18-Aug-2022 01:44 PM,technical_95287.pdf,Executive Engineer,Internal,AE DAO SUPDT HDM,Suresh Kumar Walia,18-Aug-2022 01:45 PM,18-Aug-2022 01:50 PM,techsummary_95287.pdf (915.17 KB),PWD,2022_PWD_63226_1,PWD- Civil-30.1-Tanda,Construction of link road Barana Mariyari Chowki Nehar Palachaklu road Km 0/000 to 8/300 in Distt Kangra (HP) (SH-Balance work of 12.00 mtrs span Bridge over Nehar Khad).,16-Sep-2022,"INR 2,250,084",120.0,Suresh Kumar Walia,06-Oct-2022 01:45 PM,Award2.pdf (328.00 KB),Award,Dr Suresh Kumar walia,Internal,AE DAO Supdt HDM,Ankit Kumar,30-Aug-2022 11:02 AM,finsummary_95287.pdf (186.93 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,.pdf,Contractor registration,,,,,,,,,,AOC,,,,,,,,,,,,2.0,294149.0,tek chand,11-Aug-2022 12:15 PM,Accepted-AOC,Award,06-Oct-2022 01:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST Registration, Pan No and EPF No",,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
