S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,Executive Engineer,"Executive Engineer, Sarkaghat Division, HP.PWD., Sarkaghat","45,000",No,fixed,,EE Sarkaghat,Sarkaghat,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,500.0,EE Sarkaghat,Sarkaghat,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,A/R and M/O Baggi Tikkari Dharnasi Road Km. 0/ to 2/100,(SH- Providing and laying WBM G- II and G-III between Km. 0/0 to 2/100),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,90.0,30.0,Sarkaghat,175007.0,NA ,NA ,NA ,Sarkaghat,No ,No,PWD,PW-SKT-CB-Tender/2022-23 10128-30 dt -20.09.2022,2022_PWD_65891_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,01-Oct-2022 06:00 PM,07-Oct-2022 11:30 AM,01-Oct-2022 06:00 PM,07-Oct-2022 10:30 AM,01-Oct-2022 06:00 PM ,07-Oct-2022 10:30 AM ,01-Oct-2022 06:00 PM,07-Oct-2022 10:30 AM,11-Oct-2022 11:30 AM,AOC,PWD,2022_PWD_65891_1,PW-SKT-CB-Tender/2022-23 10128-30 dt -20.09.2022,A/R and M/O Baggi Tikkari Dharnasi Road Km. 0/ to 2/100,"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Mast Ram Rana,10-Oct-2022 05:31 PM,11-Oct-2022 11:30 AM,techsummary_99139.pdf (835.26 KB),"Executive Engineer-Chairman,",Internal,"Assistant Engineer Sarkaghat - Member, Superintendent G-II - Member, Divisional Accountant Officer -Member, Divisional Head Draughtsman-Member,",Mast Ram Rana,18-Oct-2022 04:34 PM,finsummary_99139.pdf (745.06 KB),18-Oct-2022,"INR 2,323,552",30.0,Mast Ram Rana,18-Oct-2022 04:42 PM,65891.PDF (750.00 KB),Work Awarded,1.0,306731.0,Smt. Meera Devi,INR,"2,439,264",Finance,Admitted,Mast Ram Rana,12-Oct-2022 12:18 PM,None,BOQ Comparative Chart,1.0,306731.0,Smt. Meera Devi,07-Oct-2022 09:37 AM,Accepted-AOC,Lowest Bidder,18-Oct-2022 04:45 PM,Technical,Admitted,Mast Ram Rana,07-Oct-2022 12:25 PM,None,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,EMD,,,,,2.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,306739.0,SUNIL KUMAR,07-Oct-2022 09:56 AM,Rejected-AOC,2nd Lowest Bidder,18-Oct-2022 04:45 PM,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractor Registration General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Pan No/ GST Registration General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work in Hand and Work Done certificate General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of Machinery Tool and Plant as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,An Affidavit that information with the (Name of work is correct in all respect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,From No 7/8 duly signed by Contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,EPF registration.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
