Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.1,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb",2022_HPIPH_60577_1,"EE-JSD-Amb-PMVS to Chururu, Baduhi and Hamboli","Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing Multi villages Scheme to Chururu, Baduhi and Hamboli in Tehsil Amb Distt. Una(HP) in single package on Turn-key job basis with completion p",1.0,283839.0,abhishek dhiman,INR,"32,591,743",Er. SK Sharma CE,Internal,"Er.Vikas Kapur SE (D), Er. Naresh Dhiman SE JSC Una, Er. Rajesh Kanungo EE (D),Er. Hoshiar Singh JSD Amb, Sh. Iqwal Singh Asstt. Controller,Er Vijay Kumar AE(D) Sh. Amar Singh Sr. Asstt. JSV Hamirpur",Hoshiar Singh,10-Oct-2022 02:08 PM,finsummary_91497.pdf (1581.30 KB),10-Oct-2022,"INR 32,591,743",365.0,Hoshiar Singh,10-Oct-2022 02:21 PM,award.pdf (5829.00 KB),Award letter,Technical,summary cover-I,Hoshiar Singh,03-Jun-2022 11:13 AM,technical_91497.pdf,Finance,Summary,Hoshiar Singh,10-Oct-2022 01:41 PM,finance_91497.pdf,BOQ Comparative Chart,1.0,283839.0,abhishek dhiman,25-May-2022 10:00 PM,Accepted-AOC,Due to L1,10-Oct-2022 02:22 PM,ER Arbind Sood SE JSC una,Internal,"Er. Naresh Dhiman (EE) D, Er. Hoshiar Singh EE JSD Amb, Er. Shrikant Bhatia AE (D) Sh. Munish Kumar CHD, Sh. Deepak Clerk JS Circle Una",Hoshiar Singh,03-Jun-2022 11:17 AM,03-Jun-2022 11:30 AM,techsummary_91497.pdf (4155.67 KB),AOC,"2,500",EE JS Division Amb,Amb,No,13-May-2022 05:00 PM,26-May-2022 11:30 AM,13-May-2022 05:00 PM,26-May-2022 11:00 AM,13-May-2022 05:00 PM ,18-May-2022 05:00 PM ,13-May-2022 05:00 PM,26-May-2022 11:00 AM,03-Jun-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,(i) Copy of Certificate of registration with HP Jal Shakti Vibhag as per NITcondition cover-1 (i)),1.0,Corrected /updated terms and condition as DNIT,Other,,"4,20,862",No,fixed,,EE JS Division Amb,Amb,"Engineering, procurement, construction, testing, commissioning, trial run of various components for Providing Multi villages Scheme to Chururu, Baduhi and Hamboli in Tehsil Amb Distt. Una(HP) in single package on Turn-key job basis with completion p","Sub head Providing, Laying, jointing and testing of GMSERW pipe in Rising mains, Supply and Erection of Submersible/ Centrifugal Pumping Machinery including all accessories, Laying, jointing and testing of GMS/light class Pipe of various dia in Gr",Please refer Tender documents. ,NA ,"3,88,36,166",Civil Works,NA ,Tender,120.0,365.0,Amb,177203.0,Hamirpur ,"Chief Engineer (H/Z), Jal Shakti Vibhag Hamirpur ",19-May-2022 03:00 PM ,Amb,No ,No,Executive Engineer,Jal Shakti Division Amb,1.0,ICICI BANK,"HP Irrigation and Public Health||Una Circle,Irrigation and Public Health,HP||Jal Shakti Division, Amb","EE-JSD-Amb-PMVS to Chururu, Baduhi and Hamboli",2022_HPIPH_60577_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,283680.0,Ashwani Kumar Govt Contractor,25-May-2022 04:34 PM,Rejected-Finance,Due to L3,10-Oct-2022 02:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,(ii) (ii) Earnest money as per NIT conditioncover-1 (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,283861.0,BACHITTAR SINGH AND CO,26-May-2022 06:50 AM,Rejected-Finance,Due to L4,10-Oct-2022 02:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,(iii) Tender Cost as per NIT conditioncover-1 (iii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,283846.0,gagan ohri,25-May-2022 08:09 PM,Rejected-Finance,Due to L5,10-Oct-2022 02:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"(iv) Copy of PAN, GST and EPF as per NIT conditioncover-1 (iv)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,283234.0,SS RANA CONSTRUCTION PRIVATE LIMITED,26-May-2022 09:21 AM,Rejected-Finance,Due to L2,10-Oct-2022 02:08 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,(v) Copy of undertaking of DS Certificate as per NIT condition cover-1 (vi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,(vi) Copy of undertaking reg. studied all terms and conditions as per NITcondition cover-1 (vii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,(vii) Copy of undertaking reg. Contract Labour as per NIT condition cover-1 (viii)e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,(viii) Copy of make /model of the p/ machinery a/w char./ curves as per cond. NIT cover-1 (ix),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.pdf,NIeT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Form 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
