Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
20-Oct-2022,"INR 759,899",60.0,Dinesh Kumar Dhiman,20-Oct-2022 02:22 PM,56816_3Award.pdf (651.00 KB),Work awarded issued,EE Dehra,Internal,DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,13-Mar-2022 02:14 PM,finsummary_85574.pdf (218.30 KB),EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,04-Mar-2022 06:55 PM,05-Mar-2022 11:00 AM,techsummary_85574.pdf (261.60 KB),PWD,2022_PWD_56816_3,EE Dehra letter No11262-66 dated 07.02.2022,A/R and M/O Nandpur to Barial road Km. 0/0 to 3/0,Technical,Opening summary,Dinesh Kumar Dhiman,04-Mar-2022 06:39 PM,technical_85574.pdf,1.0,265535.0,AMIT MAHAJAN GOVT. CONTRACTOR,23-Feb-2022 02:55 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022 02:14 PM,Finance,Financial bid opening summary,Dinesh Kumar Dhiman,13-Mar-2022 12:25 PM,finance_85574.pdf,BOQ Comparative Chart,1.0,266571.0,SURINDER SINGH,INR,"645,979",AOC,17-Feb-2022 10:00 AM,25-Feb-2022 11:30 AM,17-Feb-2022 10:00 AM,24-Feb-2022 06:00 PM,17-Feb-2022 10:00 AM ,22-Feb-2022 05:00 PM ,17-Feb-2022 10:00 AM,24-Feb-2022 06:00 PM,05-Mar-2022 11:00 AM,1.0,ICICI BANK,350.0,Nil,Nil,No,"16,000",No,fixed,,Nil,Nil,PWD,EE Dehra letter No11262-66 dated 07.02.2022,2022_PWD_56816_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,A/R and M/O Nandpur to Barial road Km. 0/0 to 3/0,"P/L Interlocking paver block 80mm thick at RD 0/965 to 1/040, 1/050 to 1/085 and C/O edge wall on various RD,s",Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"7,59,899",Civil Works,Repair of road ,Tender,75.0,60.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,Executive Engineer,HPPWD Division Dehra,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,264772.0,Bhiwani Singh,18-Feb-2022 02:45 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022 02:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of enlistment,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,266107.0,ROHIT SHARMA,24-Feb-2022 01:59 PM,Rejected-Finance,Rejected being highest bidder,13-Mar-2022 02:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,266571.0,SURINDER SINGH,24-Feb-2022 05:27 PM,Accepted-AOC,L1,20-Oct-2022 02:23 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid with name of bid duly attested from the competent authority,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
