Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Executive Engineer,"Theog Division, HPPWD Theog",20-Sep-2022 03:00 PM,27-Sep-2022 11:00 AM,20-Sep-2022 03:00 PM,26-Sep-2022 05:00 PM,NA ,NA ,20-Sep-2022 03:00 PM,26-Sep-2022 05:00 PM,04-Oct-2022 11:00 AM,350.0,Nil,Nil,No,"14,100",No,fixed,,Nil,Nil,PWD,THD/CB/Tender/2022-7080-94,2022_PWD_65242_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Restoration of rain damages on Sainj Tikkri road km 0.00 to 2.500,Cruction of PCC Rtaining wall at R.210 to 1.233,As per GCC ,NA ,"7,02,240",Civil Works - Roads,NA ,Tender,60.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,1.0,302825.0,vinod kumar,INR,"705,449",Finance,Financial bid opening summary,Ravi Bhatti,07-Oct-2022 09:51 AM,finance_98212.pdf,BOQ Comparative Chart,1.0,303976.0,Ashok Kumar,26-Sep-2022 04:36 PM,Rejected-Finance,Being higher rates,14-Oct-2022,Technical,Bid Opening Summary,Ravi Bhatti,01-Oct-2022 09:32 AM,technical_98212.pdf,PWD,2022_PWD_65242_2,THD/CB/Tender/2022-7080-94,Restoration of rain damages on Sainj Tikkri road km 0.00 to 2.500,"Er. Ravi Bhatti, Executive Engineer",Internal,"Kewal Ram, Supdt. Gr-II Jia Lal, D/m,an, Leela Verma, Sr. Asstt.",Ravi Bhatti,03-Oct-2022 04:43 PM,04-Oct-2022 11:00 AM,techsummary_98212.pdf (538.99 KB),Er. Ravi Bhatti,Internal,"Hukam Singh Thakur, HDM, Jia Lal, D/man",Ravi Bhatti,14-Oct-2022 05:04 PM,finsummary_98212.pdf (435.63 KB),14-Oct-2022,"INR 702,240",30.0,Rajesh Kumar,04-Mar-2024 03:28 PM,Award.pdf (546.00 KB),Award letter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,2.0,302486.0,Mohit Sharma,20-Sep-2022 05:01 PM,Rejected-Technical,Technically non responsive,03-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,3.0,304108.0,Sandeep Verma,26-Sep-2022 04:13 PM,Rejected-Technical,Technically non responsive,03-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,4.0,302825.0,vinod kumar,26-Sep-2022 01:06 PM,Accepted-AOC,Being L1,04-Mar-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
