Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
R/R Damages to Nahan Dadahu Haripurdhar Road Km 9/0 to 36/0,Repair of Pot Holes in Km 12/0 to 24/0 and 31/0 to 36/0,As per Bidding Documents ,NA ,"19,99,015",Civil Works - Roads,NA ,Tender,75.0,60.0,Nahan,173001.0,NA ,NA ,NA ,HPPWD B and R Division Nahan,No ,No,1.0,ICICI BANK,500.0,Nil,Nil,No,PWD,NAHAN 9156-85,2022_PWD_65496_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"37,500",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,Executive Engineer,Executive Engineer HPPWD B and R Division Nahan,24-Sep-2022 05:00 PM,03-Oct-2022 11:00 AM,24-Sep-2022 05:00 PM,03-Oct-2022 10:00 AM,NA ,NA ,24-Sep-2022 05:00 PM,03-Oct-2022 10:00 AM,04-Oct-2022 11:00 AM,Finance,Financial Bids were opened on 04.10.2022,Vijay Kumar Aggarwal,04-Oct-2022 04:58 PM,,BOQ Comparative Chart,1.0,305635.0,HARI SINGH,INR,"2,096,085",1.0,305635.0,HARI SINGH,03-Oct-2022 09:17 AM,Accepted-AOC,L1,20-May-2023,Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,04-Oct-2022 10:50 AM,technical_98606.pdf,V. K. Aggarwal,Internal,Suptd. DM,Vijay Kumar Aggarwal,04-Oct-2022 10:56 AM,04-Oct-2022 11:00 AM,techsummary_98606.pdf (601.04 KB),PWD,2022_PWD_65496_1,NAHAN 9156-85,R/R Damages to Nahan Dadahu Haripurdhar Road Km 9/0 to 36/0,10-Oct-2022,"INR 1,999,015",60.0,Vijay Kumar Aggarwal,20-May-2023 10:30 AM,AOC_65496_1.pdf (428.00 KB),Awarded to Sh. Hari Singh,V. K. Aggarwal,Internal,Suptd. DAO DM,Vijay Kumar Aggarwal,04-Oct-2022 05:03 PM,finsummary_98606.pdf (292.79 KB)
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,2.0,305604.0,M/S HARMAN CONSTRUCTIONS,02-Oct-2022 08:44 PM,Rejected-Technical,Bidder withdraws his Bid,04-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and EPF Registration,,,,,,,,,,,,,,,,,,,,,,,3.0,305627.0,SUBHASH CHAND,03-Oct-2022 08:37 AM,Rejected-Finance,L2,04-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Acknowledgement of up to date filed GST Return,,,,,,,,,,,,,,,,,,,,,,,4.0,305622.0,Vijay Pal,03-Oct-2022 08:26 AM,Rejected-Technical,Bidder withdraws his Bid,04-Oct-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and List of Technical Staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid HPPWD-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of not having more than 2 Works-in-Hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding Correctness of Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contact Detail i.e. e-mail ID and Mobile No. of the Bidder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
