Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
350.0,Nil,Nil,No,Restoration of rain damages on Baijnath Lad-Bharol Kandhapattan road Km. 0/0 to 46/0.,Construction of wire crate with Pushta at Km. 12/380 to 12/395,As Per SBD ,NA ,"8,98,990",Civil Works - Roads,NA ,Tender,90.0,90.0,Lad Bharol,175032.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",PWD,PW-JND-B and R-EA-I-NIT- 12917-41 dt. 12.08.2022,2022_PWD_63884_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),"18,000",No,fixed,,Nil,Nil,23-Aug-2022 10:00 AM,30-Aug-2022 11:30 AM,23-Aug-2022 10:00 AM,29-Aug-2022 05:00 PM,NA ,NA ,23-Aug-2022 10:00 AM,29-Aug-2022 05:00 PM,07-Sep-2022 11:30 AM,1.0,ICICI BANK,AOC,1.0,298155.0,KhanoriaV,INR,"709,602",Finance,Financial bid opening summary,Sanjiv Kumar,08-Sep-2022 04:43 PM,finance_96260.pdf,BOQ Comparative Chart,1.0,298155.0,KhanoriaV,29-Aug-2022 04:08 PM,Accepted-AOC,work awarded being a lowest bidder L-1,12-Oct-2022 12:32 PM,Technical,Technical bid opening summary,Sanjiv Kumar,05-Sep-2022 01:13 PM,technical_96260.pdf,Executive Engineer,Internal,"Assistant Engineer Lad-Bharol, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,05-Sep-2022 01:31 PM,07-Sep-2022 11:30 AM,techsummary_96260.pdf (290.65 KB),PWD,2022_PWD_63884_1,PW-JND-B and R-EA-I-NIT- 12917-41 dt. 12.08.2022,Restoration of rain damages on Baijnath Lad-Bharol Kandhapattan road Km. 0/0 to 46/0.,11-Oct-2022,"INR 709,602",90.0,Sanjiv Kumar,12-Oct-2022 12:31 PM,awardletter.pdf (295.00 KB),work awarded being a lowest bidder L-1,Executive Engineer,Internal,"Assistant Engineer Lad-Bharol, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,08-Sep-2022 05:00 PM,finsummary_96260.pdf (200.44 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,2.0,298113.0,Tej Singh,29-Aug-2022 12:55 PM,Rejected-Finance,Rejected due to L-3,08-Sep-2022 05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,298076.0,Vinod Kumar,29-Aug-2022 01:36 PM,Rejected-Finance,Rejected due to L-2,08-Sep-2022 05:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
