Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,2022_HPSEB_63018_1,NIT-09/2022-23,"Tender for the work Providing SOP to LWSS Behna Khad to Balidhar, Sanarli and Gowalpur, Teban, Sarahan Under E Sub Division HPSEBL, Chhatri. NIT 09 2022 23",1.0,293633.0,SUNEEL THAKUR ELECTRICAL,INR,"5,382,930",Er. Pankaj Sharma,Internal,,Pankaj Sharma,01-Oct-2022 10:37 AM,finsummary_95017.pdf (646.57 KB),Technical,Tech Bid Summary,Pankaj Sharma,23-Aug-2022 04:02 PM,technical_95017.pdf,Finance,Financial Bid Summary,Pankaj Sharma,08-Sep-2022 03:45 PM,finance_95017.pdf,BOQ Comparative Chart,01-Oct-2022,"INR 5,382,930",120.0,Pankaj Sharma,01-Oct-2022 10:39 AM,awardnit9.pdf (2729.00 KB),Award of Tender,1.0,293633.0,SUNEEL THAKUR ELECTRICAL,16-Aug-2022 10:32 AM,Accepted-AOC,Lowest Bidder,01-Oct-2022 10:39 AM,Er. Pankaj Sharma,Internal,,Pankaj Sharma,08-Sep-2022 01:35 PM,08-Sep-2022 01:40 PM,techsummary_95017.pdf (1210.33 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,EMD and Tender Cost Payment Proof,1.0,Addendum III,Date,,SE OP Circle HPSEBL Bilaspur,SE OP Circle HPSEBL Bilaspur,"Tender for the work Providing SOP to LWSS Behna Khad to Balidhar, Sanarli and Gowalpur, Teban, Sarahan Under E Sub Division HPSEBL, Chhatri. NIT 09 2022 23","Tender for the work Providing SOP to LWSS Behna Khad to Balidhar, Sanarli and Gowalpur, Teban, Sarahan Under E Sub Division HPSEBL, Chhatri. NIT 09 2022 23",Please refer Tender documents. ,NA ,"51,03,730",Electrical Works,NA ,Tender,180.0,120.0,Bilaspur,174001.0,NA ,NA ,NA ,SE OP Circle HPSEBL Bilaspur,No ,No,"1,120",Nil,Nil,No,"51,037",No,fixed,,Nil,Nil,23-Jul-2022 02:00 PM,23-Aug-2022 11:00 AM,24-Jul-2022 11:00 AM,22-Aug-2022 11:00 AM,NA ,NA ,24-Jul-2022 11:00 AM,22-Aug-2022 11:00 AM,08-Sep-2022 01:40 PM,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur,NIT-09/2022-23,2022_HPSEB_63018_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293442.0,TILAK RAJ,16-Aug-2022 10:25 AM,Rejected-Finance,High Rates,01-Oct-2022 10:37 AM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,A-Class Electrical license and Work Experience/Performance Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Annual Turnover/Net Worth of the bidder certified by the Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Liquid assets /Evidence to the availability of fund from Nationalized Bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Bid Capacity and Bid validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"List of Staff, Plants and Machinery and PERT Chart",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PAN/GST/EPF/Income Tax/Employees insurance as required under rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Declaration on non judicial stamp paper that he is not blacklisted by any state Govt. Agency/Deptt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"No Commercial Deviation, Technical Deviation and No Litigation against HPSEBL certificate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"Power of Attorney, No change of ownership and other documents as per bid specifications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
