Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
19-Oct-2022,"INR 960,894",60.0,Pawan Kumar Garg,19-Oct-2022 09:20 AM,Sunil.pdf (213.00 KB),AOC,Er. Pawan,Internal,Er. C.L.AZAd,Pawan Kumar Garg,01-Oct-2022 01:33 PM,finsummary_96539.pdf (181.48 KB),PAWAN KUMAR,Internal,"Er. C.L.Azad, Sh. Sanjay Thakur",Duni Chand Chauhan,21-Sep-2022 05:01 PM,21-Sep-2022 06:00 PM,techsummary_96539.pdf (169.47 KB),PWD,2022_PWD_64072_7,PW-RD-GA-Tender/22-6223-6322 dt.01.07.2022,C O Missing Culvert On Narkand Bagi Sungri road Km.0.0 to 67.0,Technical,Summery,Duni Chand Chauhan,21-Sep-2022 04:42 PM,technical_96539.pdf,1.0,300200.0,Ravi Rawat,10-Sep-2022 02:14 PM,Rejected-Finance,2nd lowest,01-Oct-2022 01:33 PM,Finance,Summery,Chuni Lal Azad,21-Sep-2022 06:47 PM,None,BOQ Comparative Chart,1.0,300188.0,Sunil Kumar Dhanda,INR,"960,894",AOC,1.0,ICICI BANK,05-Sep-2022 06:00 PM,13-Sep-2022 11:00 AM,05-Sep-2022 06:00 PM,12-Sep-2022 06:00 PM,NA ,NA ,05-Sep-2022 06:00 PM,12-Sep-2022 06:00 PM,21-Sep-2022 06:00 PM,PWD,PW-RD-GA-Tender/22-6223-6322 dt.01.07.2022,2022_PWD_64072_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,E E B and R Divn HPPWD ROHRU,E E B and R Divn HPPWD ROHRU,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,"18,800",No,fixed,,Nil,Nil,1.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,C O Missing Culvert On Narkand Bagi Sungri road Km.0.0 to 67.0,SH C o 900 mm dia HPC at Rd. 27.29 and 27.980 along wing wall,Please refer Tender documents. ,NA ,"9,35,769",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,300188.0,Sunil Kumar Dhanda,10-Sep-2022 04:15 PM,Accepted-AOC,Accepted,19-Oct-2022 09:21 AM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULEs should be signed by the Executive Engineer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE along wiht copy of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
