Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
14-Oct-2022,"INR 1,107,269",30.0,Ravi Bhatti,29-Oct-2022 01:42 PM,award.pdf (725.00 KB),Award letter,Er. Ravi Bhatti,Internal,"Hukam Singh Thakur, Head D/man, Jia Lal Draughtsman",Ravi Bhatti,14-Oct-2022 04:57 PM,finsummary_97681.pdf (435.86 KB),"Er. Ravi Bhatti, Executive Engineer",Internal,"Hukam Siingh, Head D/man Leela Verma, Sr. Asstt.",Ravi Bhatti,26-Sep-2022 02:48 PM,27-Sep-2022 11:00 AM,techsummary_97681.pdf (533.42 KB),PWD,2022_PWD_64933_1,THD/CB/Tender/20227673-87,Annual repair and maintenance of Chailla Mohari Narkanda road km 0.00 to 10.500,Technical,Bid Opening summary,Ravi Bhatti,23-Sep-2022 10:08 AM,technical_97681.pdf,1.0,302408.0,Sandeep Chandel,20-Sep-2022 02:33 PM,Rejected-Finance,Being higher rates,14-Oct-2022 04:57 PM,1.0,302269.0,Sunil Chandel,INR,"1,049,884",Finance,Financial Bid Opening summary,Ravi Bhatti,01-Oct-2022 09:26 AM,finance_97681.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,PWD,THD/CB/Tender/20227673-87,2022_PWD_64933_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,Executive Engineer,"Theog Division, HPPWD., THEOG",Annual repair and maintenance of Chailla Mohari Narkanda road km 0.00 to 10.500,"Providing and laying interlocking concrete Blc 80mm thick NTC at RD 9,525 to 9.625",As peer general condition of contract  ,NA ,"11,07,269",Civil Works - Roads,NA ,Tender,60.0,30.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,14-Sep-2022 05:00 PM,21-Sep-2022 11:00 AM,14-Sep-2022 05:00 PM,20-Sep-2022 05:00 PM,NA ,NA ,14-Sep-2022 05:00 PM,20-Sep-2022 05:00 PM,27-Sep-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"22,150",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,302269.0,Sunil Chandel,20-Sep-2022 11:15 AM,Accepted-AOC,L1,29-Oct-2022 01:43 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3Contractor Registration Ref. general rul,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,302467.0,Suresh Vekta,20-Sep-2022 03:18 PM,Rejected-Finance,Being higher rates,14-Oct-2022 04:57 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.Work in Hand Certificate countersigned by EE.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCc",,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,AOC
