Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Stage
Technical,Summery,Duni Chand Chauhan,06-Jul-2022 07:00 PM,technical_93391.pdf,1.0,289660.0,KARUN KUMAR,02-Jul-2022 12:56 PM,Accepted-AOC,work completed,16-Nov-2022 03:51 PM,Finance,Summery,Pawan Kumar Garg,07-Jul-2022 06:02 PM,finance_93391.pdf,BOQ Comparative Chart,1.0,289660.0,KARUN KUMAR,INR,"827,362",18-Oct-2022,"INR 854,244",60.0,Pawan Kumar Garg,16-Nov-2022 03:49 PM,Karan.pdf (247.00 KB),AOC,PAWAN KUMAR,Internal,Ranveer a,Pawan Kumar Garg,23-Aug-2022 04:54 PM,finsummary_93391.pdf (563.75 KB),PAWAN KUMAR,Internal,"Ranvir ,Sanjay , Chuni Lal Azad",Duni Chand Chauhan,06-Jul-2022 07:07 PM,07-Jul-2022 10:00 AM,techsummary_93391.pdf (401.50 KB),PWD,2022_PWD_61877_5,PW-RD-GA-Tender/22-3395-3494 dt.27.05.22,AR and MO RCD road Km .0.0 to 21.195,AOC,E E B and R Divn HPPWD ROHRU,EEHPPWD ROHRU,PWD,PW-RD-GA-Tender/22-3395-3494 dt.27.05.22,2022_PWD_61877_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"16,300",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER FORM,500.0,Nil,Nil,No,AR and MO RCD road Km .0.0 to 21.195,SH U shape PCC drain 1 2 4 at Rd.15.110 to 15.410,Please refer Tender documents. ,NA ,"8,10,420",Civil Works,NA ,Tender,45.0,60.0,ROHRU,171207.0,NA ,NA ,NA ,ROHRU,No ,No,27-Jun-2022 06:00 PM,05-Jul-2022 11:00 AM,27-Jun-2022 06:00 PM,04-Jul-2022 06:00 PM,NA ,NA ,27-Jun-2022 06:00 PM,04-Jul-2022 06:00 PM,07-Jul-2022 10:00 AM,1.0,ICICI BANK,AOC
,,,,,2.0,289663.0,MUNSHI RAM,02-Jul-2022 01:14 PM,Rejected-Finance,2nd lowest,23-Aug-2022 04:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTOR REGISTRATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN NUMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF NUMBER GST NUMBER AND IMCOME TAX CALEARANCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK DONE CERTIFICATES AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,WORK IN HAND DETAILS AS PER CLAUSE 19 OF GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,MACHINARY AND TOOLS DETAILS AS GIVEN IN SCHEDULE F FOR CLAUSE 18 OF GENERAL RULE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT REGARDING GAZETTE NONGAZET CORRECTNESS OF INFORMATION SUBMITTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,ANY OTHER Documents physical submission submit should be compalsory otherwise tender will be rejecte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,the required documents if not found the bidder shall not be Considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
