S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,S.No,Instrument Type,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,130375.0,M/s Young Construction,INR,178929000.0,"Chief Engineer, PWD, Roads, Assam, Chandmari, Ghy",Internal,,MRIDUL TALUKDAR,14-Feb-2022 05:35 PM,14-Feb-2022 05:40 PM,techsummary_36601.pdf (205.13 KB),Public Works Roads Department,2021_PWD_23865_2,CEDEV/RIDFXXVII/210/2021-22/01,"RE_RIDF-XXVII_West Guwahati_01 Construction of road cum embankment from Dharapur to Mazirgaon of Brahmaputra River from Ch. 0m to 950.00 m (providing E/W, GSB, WMM, ICBP, protection work, traffic signs etc.) under RIDF-XXVII of NABARD for the year 2",Technical,Verified,MRIDUL TALUKDAR,14-Feb-2022 05:33 PM,technical_36601.pdf,1,130247,ANIL DAS,18-Jan-2022 09:12 PM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,CE,Internal,,MRIDUL TALUKDAR,29-Mar-2022 05:23 PM,finsummary_36601.pdf (385.59 KB),15-Oct-2022,INR 1.78929E+8,540.0,MRIDUL TALUKDAR,15-Oct-2022 05:30 PM,WestGuwahatiRIDF1.pdf (264.00 KB),Finance,Financial Opened,BHABANANDA DEKA,14-Feb-2022 06:56 PM,,BOQ Comparative Chart,AOC,"RE_RIDF-XXVII_West Guwahati_01 Construction of road cum embankment from Dharapur to Mazirgaon of Brahmaputra River from Ch. 0m to 950.00 m (providing E/W, GSB, WMM, ICBP, protection work, traffic signs etc.) under RIDF-XXVII of NABARD for the year 2","RE_RIDF-XXVII_West Guwahati_01 Construction of road cum embankment from Dharapur to Mazirgaon of Brahmaputra River from Ch. 0m to 950.00 m (providing E/W, GSB, WMM, ICBP, protection work, traffic signs etc.) under RIDF-XXVII of NABARD for the year 2",Please refer Tender documents. ,NA ,"19,88,10,000",Civil Works,NA ,Tender,180.0,540.0,West Guwahati,781009.0,"Development Branch, O/o the Chief Engineer (Roads) ","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003 ",05-Jan-2022 12:00 PM ,"O/o the Chief Engineer (Roads), PWRD, Assam",No ,No,1.0,Fee/PreQual/Technical,.pdf,Bid Security,"Chief Engineer (Roads), PWRD, Assam","O/o the Chief Engineer (Roads), PWRD, Assam, Chandmari, Guwahati, 781003",1.0,DD - Demand Draft,"39,76,000",Yes,fixed,,"Chief Engineer, PWD (Roads), Assam",GUWAHATI,Public Works Roads Department,CEDEV/RIDFXXVII/210/2021-22/01,2021_PWD_23865_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,29-Dec-2021 02:00 PM,19-Jan-2022 02:30 PM,29-Dec-2021 02:00 PM,19-Jan-2022 02:00 PM,29-Dec-2021 02:00 PM ,19-Jan-2022 02:00 PM ,07-Jan-2022 02:00 PM,19-Jan-2022 02:00 PM,14-Feb-2022 05:40 PM,"10,000","Empowered Officer, Assam State Road Board",GUWAHATI,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,130316,ANIL DAS CONSTRUCTION PVT LTD,19-Jan-2022 09:48 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2022 05:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Document,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,130248,Dhaneswar Kalita,18-Jan-2022 09:16 PM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Qualification Details,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,130335,DULAL KALITA,19-Jan-2022 10:56 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,14-Feb-2022 05:33 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Standard Bidding Document,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,130165,HABIBUR RAHMAN,18-Jan-2022 05:34 PM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,130203,MS G L Agarwalla,18-Jan-2022 07:28 PM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form Of Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,130365,MS Shiva Harlalka,19-Jan-2022 12:02 PM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,130375,M/s Young Construction,19-Jan-2022 12:27 PM,Accepted-AOC,Awarded,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,130320,North East Contractors Pvt. Ltd.,19-Jan-2022 10:04 AM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,130291,Raju Mesh,19-Jan-2022 11:35 AM,Rejected-AOC,Rejected,15-Oct-2022 05:32 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
